e_length,e_breadth,e_weight,b_weight
28.8,21.84,7.4,5.2
29.04,22.45,7.7,5.4
29.36,22.48,7.9,5.6
30.1,21.71,7.5,5.3
30.17,22.75,8.3,5.9
30.34,22.84,8.5,5.8
30.36,22.5,8.2,5.8
30.46,22.72,8.3,6
30.54,23.31,9,6.1
30.62,22.94,8.5,6.2
30.7,23.18,8.6,6.5
30.71,22.51,8.2,5.7
30.86,22.52,8.3,6.2
30.87,23.35,8.7,6.4
30.89,22.78,8.5,6.2
30.9,22.81,8.4,6.1
31,23.09,8.5,6.3
31.06,23.42,8.9,6.3
31.07,23.82,9.1,6.5
31.14,23.7,8.9,6
31.18,22.92,8.6,5.6
31.41,22.79,8.5,6.2
31.46,22.86,8.8,6.3
31.47,22.35,8.3,5.8
31.5,22.19,8.2,5.7
31.5,22.4,8.2,6
31.55,23.17,8.9,6.4
31.56,22.54,8.5,5.9
31.68,22.82,8.8,6.4
31.81,22.68,8.6,6.2
31.98,23.21,9.1,7.1
32.06,23.1,9,6.5
32.14,22.87,8.9,5.8
32.16,23.34,9.2,6.4
32.3,23.2,9.1,6.4
32.53,22.68,8.6,6.1
32.54,22.5,8.8,6.2
32.66,23.14,9.1,6.8
32.72,23.25,9.2,6.3
32.78,23.23,9.2,6.4
32.98,22.94,8.9,6.4
33.15,23.02,9.1,6.6
33.3,23.7,9.9,7.1
33.73,22.72,9,6.3
