State,White,Black,Hispanic,Other,Total
Alabama,712200,362100,76100,36700,1187100
Alaska,88600,5000,23100,75800,192600
Arizona,571200,60000,936800,159600,1727500
Arkansas,463800,134000,75800,62000,735700
California,2786000,484200,4849400,1590100,9709700
Colorado,740500,66400,422900,116500,1346300
Connecticut,523600,71500,175400,72500,843000
Delaware,112600,48300,37300,17700,215800
District of Columbia,31200,68800,18000,5700,123800
Florida,1944100,905700,1327300,214100,4391100
Georgia,1142400,883100,404200,184900,2614600
Hawaii,37700,0,50700,246100,338300
Idaho,351100,0,87000,25400,466700
Illinois,1734800,438600,712800,250000,3136200
Indiana,1197100,215200,231600,79600,1723500
Iowa,641000,34100,77000,41900,793900
Kansas,493700,41200,137200,76000,748100
Kentucky,770600,111200,83000,71500,1036300
Louisiana,574700,418200,107300,63300,1163400
Maine,243400,0,0,20500,276600
Maryland,647900,463600,180000,159200,1450700
Massachusetts,937600,133600,251000,181600,1503800
Michigan,1430100,378400,208100,232600,2249100
Minnesota,944500,108200,107600,200200,1360400
Mississippi,385700,318800,32800,0,757700
Missouri,1132000,194000,103600,84400,1514000
Montana,206200,2300,13700,18300,240500
Nebraska,345000,30400,83200,34800,493400
Nevada,250300,86200,275400,89700,701600
New Hampshire,248500,0,15400,11800,279500
New Jersey,1073700,340900,490200,213200,2118000
New Mexico,139900,7700,274100,105100,526700
New York,2183800,686600,1036000,593300,4499700
North Carolina,1295900,554100,366100,231300,2447400
North Dakota,148500,6800,8600,18900,182700
Ohio,1975900,397400,150000,246100,2769500
Oklahoma,535600,95800,170000,221300,1022700
Oregon,615600,0,176000,121000,930300
Pennsylvania,1932700,363300,378700,212700,2887300
Rhode Island,153200,14500,42600,16900,227200
South Carolina,647200,332300,98900,65200,1143600
South Dakota,162700,4200,8700,41800,217400
Tennessee,1038100,300100,158500,79800,1576600
Texas,2486600,942100,3570000,467800,7466600
Utah,731300,16600,145900,54200,948100
Vermont,114200,3200,0,6700,126500
Virginia,1150400,417100,248800,214500,2030800
Washington,996600,81400,396400,290200,1764700
West Virginia,338600,17000,0,26900,388400
Wisconsin,971800,113600,191100,104100,1380500
Wyoming,117100,0,18500,5600,143300
