ID,Gender,Marital Status,Relationship Rating,Age,Education,Household Income,Employment Status
0,male,married,1,51,Bachelor's degree,"75,000 to 84,999",working as paid employee
0,female,married,1,53,High school graduate - diploma or the equivalent (GED),"75,000 to 84,999",working as paid employee
1,male,married,1,57,Associate degree,"85,000 to 99,999",working as paid employee
1,female,married,1,57,High school graduate - diploma or the equivalent (GED),"85,000 to 99,999",working as paid employee
2,male,married,1,60,Bachelor's degree,"75,000 to 84,999",working as paid employee
2,female,married,1,57,"Some college, no degree","75,000 to 84,999",working as paid employee
3,male,married,1,62,High school graduate - diploma or the equivalent (GED),"35,000 to 39,999","working, self-employed"
3,female,married,1,59,High school graduate - diploma or the equivalent (GED),"35,000 to 39,999",working as paid employee
4,male,married,2,53,"Some college, no degree","125,000 to 149,999",not working - other
4,female,married,2,61,"Some college, no degree","125,000 to 149,999",not working - retired
5,male,married,2,34,Bachelor's degree,"100,000 to 124,999",not working - on a temporary layoff from a job
5,female,married,2,32,Bachelor's degree,"100,000 to 124,999",not working - looking for work
6,male,married,1,54,Bachelor's degree,"75,000 to 84,999",not working - disabled
6,female,married,2,47,Master's degree,"75,000 to 84,999","working, self-employed"
7,male,married,2,47,Associate degree,"60,000 to 74,999",working as paid employee
7,female,married,2,44,High school graduate - diploma or the equivalent (GED),"60,000 to 74,999",not working - other
8,male,married,1,52,Master's degree,"125,000 to 149,999",working as paid employee
8,female,married,2,51,Bachelor's degree,"125,000 to 149,999",working as paid employee
9,male,married,1,58,"Some college, no degree","150,000 to 174,999",not working - retired
9,female,married,1,59,Master's degree,"150,000 to 174,999",working as paid employee
10,male,married,2,48,Professional or doctorate degree,"100,000 to 124,999",working as paid employee
10,female,married,2,47,Bachelor's degree,"100,000 to 124,999",working as paid employee
11,male,married,1,55,High school graduate - diploma or the equivalent (GED),"50,000 to 59,999",working as paid employee
11,female,married,2,47,"Some college, no degree","50,000 to 59,999",not working - other
12,male,married,2,52,Bachelor's degree,"50,000 to 59,999",not working - looking for work
12,female,married,2,53,High school graduate - diploma or the equivalent (GED),"50,000 to 59,999",working as paid employee
13,male,married,2,27,High school graduate - diploma or the equivalent (GED),"40,000 to 49,999",working as paid employee
13,female,married,1,28,High school graduate - diploma or the equivalent (GED),"40,000 to 49,999",working as paid employee
14,male,married,1,45,Bachelor's degree,"100,000 to 124,999",working as paid employee
14,female,married,1,44,Bachelor's degree,"100,000 to 124,999","working, self-employed"
15,male,married,1,58,Professional or doctorate degree,"100,000 to 124,999",working as paid employee
15,female,married,1,52,Bachelor's degree,"100,000 to 124,999",working as paid employee
16,male,married,1,59,Associate degree,"175,000 or more",working as paid employee
16,female,married,1,57,Bachelor's degree,"175,000 or more",working as paid employee
17,male,married,1,57,Master's degree,"100,000 to 124,999",working as paid employee
17,female,married,1,48,High school graduate - diploma or the equivalent (GED),"100,000 to 124,999",not working - other
18,male,married,2,44,High school graduate - diploma or the equivalent (GED),"50,000 to 59,999",working as paid employee
18,female,married,1,46,7th or 8th grade,"50,000 to 59,999","working, self-employed"
19,male,married,1,39,Bachelor's degree,"85,000 to 99,999",working as paid employee
19,female,married,1,38,Bachelor's degree,"85,000 to 99,999","working, self-employed"
20,male,married,1,48,High school graduate - diploma or the equivalent (GED),"75,000 to 84,999",working as paid employee
20,female,married,2,43,High school graduate - diploma or the equivalent (GED),"75,000 to 84,999",working as paid employee
21,male,married,2,50,Associate degree,"100,000 to 124,999",working as paid employee
21,female,married,2,49,Master's degree,"100,000 to 124,999",not working - disabled
22,male,married,2,44,Bachelor's degree,"75,000 to 84,999",working as paid employee
22,female,married,2,46,Master's degree,"75,000 to 84,999",not working - other
23,male,married,2,62,Bachelor's degree,"75,000 to 84,999",not working - retired
23,female,married,2,58,Bachelor's degree,"75,000 to 84,999",not working - retired
24,male,married,2,41,Associate degree,"75,000 to 84,999",working as paid employee
