Year,Age,Gender,Educational Attainment,Personal Income,Population Count
1/1/08 0:00,00 to 17,Male,"College, less than 4-yr degree","C: 10,000 to 14,999",1304
1/1/08 0:00,00 to 17,Female,"College, less than 4-yr degree","B: 5,000 to 9,999",1565
1/1/08 0:00,65 to 80+,Male,"College, less than 4-yr degree","A: 0 to 4,999",1923
1/1/08 0:00,65 to 80+,Female,No high school diploma,"H: 75,000 and over",1981
1/1/08 0:00,00 to 17,Female,No high school diploma,"D: 15,000 to 24,999",2009
1/1/08 0:00,00 to 17,Male,No high school diploma,"F: 35,000 to 49,999",2227
1/1/08 0:00,00 to 17,Male,No high school diploma,"E: 25,000 to 34,999",2606
1/1/08 0:00,00 to 17,Male,"College, less than 4-yr degree","D: 15,000 to 24,999",3465
1/1/08 0:00,00 to 17,Male,No high school diploma,"D: 15,000 to 24,999",3974
1/1/08 0:00,18 to 64,Female,No high school diploma,"H: 75,000 and over",4233
1/1/08 0:00,00 to 17,Female,High school or equivalent,"A: 0 to 4,999",4711
1/1/08 0:00,65 to 80+,Male,No high school diploma,"H: 75,000 and over",5801
1/1/08 0:00,00 to 17,Female,No high school diploma,"C: 10,000 to 14,999",6857
1/1/08 0:00,00 to 17,Male,No high school diploma,"C: 10,000 to 14,999",7092
1/1/08 0:00,00 to 17,Female,"College, less than 4-yr degree","A: 0 to 4,999",7598
1/1/08 0:00,00 to 17,Female,High school or equivalent,"B: 5,000 to 9,999",7672
1/1/08 0:00,65 to 80+,Female,No high school diploma,"F: 35,000 to 49,999",8109
1/1/08 0:00,65 to 80+,Male,High school or equivalent,"A: 0 to 4,999",8278
1/1/08 0:00,65 to 80+,Female,No high school diploma,"G: 50,000 to 74,999",8297
1/1/08 0:00,65 to 80+,Male,High school or equivalent,"H: 75,000 and over",8527
1/1/08 0:00,00 to 17,Male,"College, less than 4-yr degree","A: 0 to 4,999",8664
1/1/08 0:00,65 to 80+,Female,High school or equivalent,"H: 75,000 and over",12086
1/1/08 0:00,65 to 80+,Female,Bachelor's degree or higher,"A: 0 to 4,999",12915
1/1/08 0:00,65 to 80+,Female,"College, less than 4-yr degree","A: 0 to 4,999",12954
1/1/08 0:00,65 to 80+,Male,No high school diploma,"G: 50,000 to 74,999",13271
