State,White,Black,Hispanic,Asian,American India0laska Native,Two Or More Races,Total
Alabama,3167600,1269200,191000,77300,0,56100,4768000
Alaska,396400,17000,59200,67200,109900,45900,695700
Arizona,3243200,274300,2580500,257600,212500,89100,6657200
Arkansas,2096500,456900,198900,0,14800,65600,2896000
California,15172800,2068500,14786000,5662400,198600,813100,38701300
Colorado,3768000,210400,1113700,124400,0,111300,5377400
Connecticut,2542900,313400,471800,210500,0,33500,3577900
Delaware,587400,186100,97100,40300,0,15300,929500
District of Columbia,241600,305900,71100,26600,0,11000,656900
Florida,10927500,3106100,4916600,563000,0,185300,19731100
Georgia,5316500,3073600,959500,409100,0,187700,9965100
Hawaii,255800,29700,124100,723100,0,229500,1365400
Idaho,1321900,13200,204900,22300,0,26400,1610200
Illinois,8240200,1673000,2022400,712800,0,141000,12797900
Indiana,5080300,604700,557700,162400,0,63200,6477500
Iowa,2712100,94100,158900,79300,0,0,3080800
Kansas,2144300,156900,331100,127200,0,62700,2853000
Kentucky,3644700,326100,193400,117800,0,27400,4315700
Louisiana,2639700,1434500,273200,99400,0,89100,4556500
Maine,1192800,18500,18700,22800,0,36000,1299600
Maryland,3185300,1709200,501900,355800,0,178600,5938900
Massachusetts,4820900,496500,724400,501900,0,107700,6658100
Michigan,7393600,1351800,586200,343800,0,208400,9906400
Minnesota,4258100,318300,299800,287700,0,123200,5418500
Mississippi,1699800,1091000,103300,0,0,27600,2965300
Missouri,4821900,697400,218900,86000,0,118400,5961300
Montana,910900,6300,34300,0,31800,19700,1009100
Nebraska,1479900,82500,214600,48400,0,23600,1881000
Nevada,1417000,246400,778900,240300,0,74600,2823400
New Hampshire,1211100,16800,38000,37000,0,15400,1319700
New Jersey,5193800,1188000,1660800,780100,0,82700,8939300
New Mexico,813900,35700,872600,0,245300,16800,2035200
New York,11179200,2639500,3496900,1983500,0,295900,19679400
North Carolina,6085000,2099800,949100,283700,0,176900,9835800
North Dakota,645900,14600,22300,13300,28100,9300,733400
Ohio,9202600,1397100,380100,224400,0,297600,11535600
Oklahoma,2527200,279800,407700,74100,299500,153500,3741700
Oregon,2991700,75200,487800,234700,0,134500,3962300
Pennsylvania,9740400,1318400,938400,383500,0,227600,12627100
Rhode Island,804900,60200,127900,39200,0,11800,1048200
South Carolina,3065400,1290200,268900,64800,0,57600,4764300
South Dakota,715800,15400,18900,0,69900,18300,846800
Tennessee,4795100,1103100,393400,95200,0,0,6502000
Texas,11706900,3178400,10198500,1155100,60000,388400,26687400
Utah,2375900,36600,360100,105900,0,30700,2929400
Vermont,580600,6700,8400,9900,0,10300,617000
Virginia,5228200,1552400,701800,614500,0,156000,8258800
Washington,4927500,272100,952600,548400,115700,268700,7085000
West Virginia,1682700,62600,22000,0,0,41400,1825500
Wisconsin,4704400,324800,466500,107800,0,95400,5747200
Wyoming,494600,5900,49400,0,6800,10500,572000
