family,father,mother,midparentHeight,children,childNum,gender,childHeight
1,78.5,67,75.43,4,1,male,73.2
1,78.5,67,75.43,4,2,female,69.2
1,78.5,67,75.43,4,3,female,69
1,78.5,67,75.43,4,4,female,69
2,75.5,66.5,73.66,4,1,male,73.5
2,75.5,66.5,73.66,4,2,male,72.5
2,75.5,66.5,73.66,4,3,female,65.5
2,75.5,66.5,73.66,4,4,female,65.5
3,75,64,72.06,2,1,male,71
3,75,64,72.06,2,2,female,68
4,75,64,72.06,5,1,male,70.5
4,75,64,72.06,5,2,male,68.5
4,75,64,72.06,5,3,female,67
4,75,64,72.06,5,4,female,64.5
4,75,64,72.06,5,5,female,63
5,75,58.5,69.09,6,1,male,72
5,75,58.5,69.09,6,2,male,69
5,75,58.5,69.09,6,3,male,68
5,75,58.5,69.09,6,4,female,66.5
5,75,58.5,69.09,6,5,female,62.5
5,75,58.5,69.09,6,6,female,62.5
6,74,68,73.72,1,1,female,69.5
7,74,68,73.72,6,1,male,76.5
7,74,68,73.72,6,2,male,74
7,74,68,73.72,6,3,male,73
7,74,68,73.72,6,4,male,73
7,74,68,73.72,6,5,female,70.5
7,74,68,73.72,6,6,female,64
8,74,66.5,72.91,3,1,female,70.5
8,74,66.5,72.91,3,2,female,68
8,74,66.5,72.91,3,3,female,66
9,74.5,66,72.89,1,1,female,66
10,74,65.5,72.37,1,1,female,65.5
11,74,62,70.48,8,1,male,74
11,74,62,70.48,8,2,male,70
11,74,62,70.48,8,3,female,68
11,74,62,70.48,8,4,female,67
11,74,62,70.48,8,5,female,67
11,74,62,70.48,8,6,female,66
11,74,62,70.48,8,7,female,63.5
11,74,62,70.48,8,8,female,63
12,74,61,69.94,1,1,female,65
13,73,67,72.68,2,1,male,71
13,73,67,72.68,2,2,female,62
14,73,67,72.68,2,1,male,68
14,73,67,72.68,2,2,male,67
15,73,66.5,72.41,3,1,male,71
15,73,66.5,72.41,3,2,male,70.5
15,73,66.5,72.41,3,3,female,66.7
16,73,65,71.6,9,1,male,72
16,73,65,71.6,9,2,male,70.5
16,73,65,71.6,9,3,male,70.2
16,73,65,71.6,9,4,male,70.2
16,73,65,71.6,9,5,male,69.2
16,73,65,71.6,9,6,female,68.7
16,73,65,71.6,9,7,female,66.5
16,73,65,71.6,9,8,female,64.5
16,73,65,71.6,9,9,female,63.5
17,73,64.5,71.33,6,1,male,74
17,73,64.5,71.33,6,2,male,73
17,73,64.5,71.33,6,3,male,71.5
17,73,64.5,71.33,6,4,male,62.5
17,73,64.5,71.33,6,5,female,66.5
17,73,64.5,71.33,6,6,female,62.3
18,73,64,71.06,3,1,female,66
18,73,64,71.06,3,2,female,64.5
18,73,64,71.06,3,3,female,64
19,73.2,63,70.62,1,1,female,62.7
20,72.7,69,73.61,8,1,male,73.2
20,72.7,69,73.61,8,2,male,73
20,72.7,69,73.61,8,3,male,72.7
20,72.7,69,73.61,8,4,female,70
20,72.7,69,73.61,8,5,female,69
20,72.7,69,73.61,8,6,female,68.5
20,72.7,69,73.61,8,7,female,68
20,72.7,69,73.61,8,8,female,66
21,72,68,72.72,3,1,male,73
21,72,68,72.72,3,2,female,68.5
21,72,68,72.72,3,3,female,68
22,72,67,72.18,3,1,male,73
22,72,67,72.18,3,2,male,71
22,72,67,72.18,3,3,female,67
23,72,65,71.1,7,1,male,74.2
23,72,65,71.1,7,2,male,70.5
23,72,65,71.1,7,3,male,69.5
23,72,65,71.1,7,4,female,66
23,72,65,71.1,7,5,female,65.5
23,72,65,71.1,7,6,female,65
23,72,65,71.1,7,7,female,65
24,72,65.5,71.37,1,1,female,65.5
25,72,64,70.56,2,1,female,66
25,72,64,70.56,2,2,female,63
26,72,63,70.02,5,1,male,70.5
26,72,63,70.02,5,2,male,70.5
26,72,63,70.02,5,3,male,69
26,72,63,70.02,5,4,female,65
26,72,63,70.02,5,5,female,63
27,72,63,70.02,3,1,male,69
27,72,63,70.02,3,2,male,67
27,72,63,70.02,3,3,female,63
28,72,63,70.02,6,1,male,73
28,72,63,70.02,6,2,male,67
28,72,63,70.02,6,3,female,70.5
28,72,63,70.02,6,4,female,70
28,72,63,70.02,6,5,female,66.5
28,72,63,70.02,6,6,female,63
29,72.5,63.5,70.54,3,1,female,67.5
29,72.5,63.5,70.54,3,2,female,67.2
29,72.5,63.5,70.54,3,3,female,66.7
30,72,62,69.48,1,1,female,64
31,72.5,62,69.73,6,1,male,71
31,72.5,62,69.73,6,2,male,70
31,72.5,62,69.73,6,3,male,70
31,72.5,62,69.73,6,4,female,66
31,72.5,62,69.73,6,5,female,65
31,72.5,62,69.73,6,6,female,65
32,72,62,69.48,5,1,male,74
32,72,62,69.48,5,2,male,72
32,72,62,69.48,5,3,male,69
32,72,62,69.48,5,4,female,67.5
32,72,62,69.48,5,5,female,63.5
33,72,62,69.48,5,1,male,72
33,72,62,69.48,5,2,male,71.5
33,72,62,69.48,5,3,male,71.5
33,72,62,69.48,5,4,male,70
33,72,62,69.48,5,5,female,68
34,72,61,68.94,1,1,female,65.7
35,71,69,72.76,5,1,male,78
35,71,69,72.76,5,2,male,74
35,71,69,72.76,5,3,male,73
35,71,69,72.76,5,4,male,72
35,71,69,72.76,5,5,female,67
36,71,67,71.68,4,1,male,73.2
36,71,67,71.68,4,2,male,73
36,71,67,71.68,4,3,male,69
36,71,67,71.68,4,4,female,67
37,71,66,71.14,4,1,male,70
37,71,66,71.14,4,2,female,67
37,71,66,71.14,4,3,female,67
37,71,66,71.14,4,4,female,66.5
38,71,66,71.14,6,1,male,70
38,71,66,71.14,6,2,male,69
