GPA,days online,views,contributions,questions,notes,answers
2.863,29,299,5,1,1,0
3.505,57,299,0,0,0,0
3.029,27,101,1,1,0,0
3.679,67,301,1,0,0,0
3.4739999999999998,43,201,12,1,0,0
3.705,67,308,45,22,0,5
3.806,36,171,20,4,3,4
3.667,82,300,26,11,0,3
3.245,44,127,6,1,1,0
3.293,35,259,16,13,1,0
2.815,38,187,5,1,0,0
3.373,41,201,3,0,0,0
3.4760000000000004,57,306,26,11,2,4
3.4739999999999998,48,278,6,3,1,0
3.947,70,301,20,4,0,6
3.889,64,226,14,4,0,1
2.987,27,149,4,0,0,0
2.765,22,152,1,0,0,0
3.719,66,299,7,1,0,1
3.93,58,294,23,8,0,1
3.826,51,299,5,2,0,0
2.815,39,290,28,2,4,1
3.6519999999999997,72,236,27,15,0,2
3.79,43,257,27,13,0,0
3.6460000000000004,68,302,14,7,0,1
3.625,60,244,10,3,1,1
2.4,42,208,0,0,0,0
3.343,33,147,3,1,0,0
3.389,50,299,17,3,1,3
3.5189999999999997,56,302,10,2,0,1
