father,son
65.0,59.8
63.3,63.2
65.0,63.3
65.8,62.8
61.1,64.3
63.0,64.2
65.4,64.1
64.7,64.0
66.1,64.6
67.0,64.0
59.0,65.2
62.9,65.4
63.7,65.7
64.1,65.4
64.7,65.3
65.2,64.8
66.4,65.0
65.6,65.5
67.4,65.1
66.8,65.5
67.8,65.1
69.5,65.5
62.5,66.6
63.8,66.4
64.5,66.1
65.0,66.0
64.7,66.0
65.7,66.5
65.5,65.7
65.6,66.0
66.9,65.9
66.6,65.9
66.5,66.5
67.9,65.8
68.3,66.3
67.7,66.1
68.5,66.3
69.4,66.3
71.8,66.4
62.4,67.2
64.5,67.5
64.5,67.0
63.9,66.8
65.4,67.0
65.0,66.8
65.7,69.3
68.7,69.1
66.5,61.7
64.9,65.7
69.6,69.0
64.8,67.4
65.3,67.2
65.8,67.1
65.8,67.3
65.6,67.6
65.9,67.5
65.8,66.9
67.1,67.6
66.6,67.2
67.4,66.8
67.3,67.2
66.6,67.5
68.2,67.6
67.8,67.2
68.3,67.5
68.1,67.4
69.0,67.6
68.9,67.3
69.6,66.8
70.4,66.7
70.0,66.9
72.8,67.6
62.8,68.0
62.9,68.5
63.9,68.0
64.5,68.3
64.5,68.3
66.0,68.3
65.8,68.2
66.0,68.5
65.5,68.1
65.7,68.3
66.8,68.0
66.7,68.6
67.0,67.9
66.9,68.1
66.8,68.4
67.1,67.9
67.7,68.2
68.3,68.0
67.6,68.2
68.4,67.9
67.7,68.6
68.7,68.0
69.3,68.3
68.7,67.9
69.1,68.6
69.3,68.2
68.6,68.6
69.6,68.1
70.4,68.4
71.2,67.8
70.8,68.6
71.7,67.9
73.3,67.8
63.0,68.8
63.7,69.6
65.4,69.7
64.6,69.4
66.4,69.7
65.8,69.2
65.7,69.5
66.1,69.6
66.5,69.3
66.6,69.5
66.6,68.7
67.7,69.3
68.5,69.2
67.8,69.2
67.6,69.5
68.1,69.1
69.2,68.9
68.7,69.5
68.6,69.3
68.6,69.2
68.6,68.7
70.4,69.3
70.0,68.9
70.1,69.3
70.2,69.2
71.3,69.6
70.9,69.1
72.2,69.1
75.0,69.0
64.9,69.9
65.6,70.1
65.7,69.9
65.9,70.3
65.9,70.5
67.4,70.5
67.5,69.8
67.6,70.4
68.5,70.0
68.5,69.8
68.1,70.7
69.5,70.2
69.1,70.1
69.4,70.0
69.4,70.3
69.5,69.8
70.2,70.0
69.9,69.9
70.4,69.7
70.9,70.1
71.3,70.0
72.1,70.7
72.2,70.0
75.4,70.1
64.5,71.3
66.4,70.8
65.6,71.4
66.8,71.2
66.9,71.7
68.2,71.4
67.5,70.7
67.8,71.3
69.0,71.0
69.3,71.3
68.7,70.9
69.7,71.3
70.3,71.6
70.0,71.2
70.2,71.0
70.9,71.4
71.2,71.6
72.4,71.1
73.0,70.9
74.8,71.7
67.4,72.4
67.3,71.9
67.8,72.3
69.3,72.2
68.7,72.5
70.0,72.0
69.8,72.3
70.7,72.5
71.1,72.3
72.5,72.0
72.5,72.2
67.5,72.8
68.2,73.0
68.8,72.9
69.9,73.2
71.5,73.6
70.8,72.9
71.9,73.2
63.1,74.3
68.2,74.4
70.1,73.8
70.8,73.9
72.6,73.8
67.9,75.6
67.5,75.7
72.8,77.2
62.7,61.3
68.2,74.3
65.1,70.9
73.4,75.3
62.9,61.8
62.5,64.0
69.9,62.5
71.1,73.7
71.1,66.3
69.5,62.2
70.2,65.4
65.5,64.0
62.0,62.8
63.6,63.5
65.6,63.5
68.0,62.9
61.8,63.7
63.8,63.7
64.9,64.4
65.8,63.7
66.4,64.4
68.8,64.3
61.8,65.2
64.3,65.1
63.7,65.6
65.0,64.9
65.3,65.1
64.8,65.2
65.7,65.6
66.0,65.6
67.0,64.9
67.8,65.4
69.0,64.7
62.2,65.8
62.8,65.8
63.9,66.7
65.4,66.5
64.6,66.4
65.6,66.3
66.2,66.2
66.0,66.4
65.8,66.7
67.4,66.2
67.1,66.4
67.3,66.7
67.9,65.8
68.3,66.2
68.0,66.3
68.7,65.8
71.2,66.3
62.4,66.9
62.9,66.8
64.1,67.4
63.9,67.7
64.8,67.2
65.4,67.3
64.8,67.5
68.7,69.0
65.2,62.0
64.3,64.1
66.1,66.0
69.0,65.8
64.5,66.9
66.1,66.8
65.7,67.0
66.5,67.4
65.6,66.8
66.4,67.3
67.3,67.5
66.8,67.2
66.7,67.6
67.3,66.9
67.4,66.7
67.9,67.2
67.8,67.2
68.1,66.8
68.3,66.8
68.8,67.5
69.4,67.1
69.3,67.1
70.5,66.9
70.1,67.5
70.6,66.9
62.4,67.7
63.2,67.9
63.5,68.7
63.9,68.6
64.6,68.4
64.9,68.4
65.9,68.4
66.2,68.4
66.5,67.9
65.5,68.3
66.9,68.0
67.1,68.2
66.8,68.6
67.2,68.6
66.5,67.8
67.0,67.9
66.6,68.2
68.2,68.0
67.6,67.9
68.3,67.8
68.0,68.6
69.0,68.1
69.3,67.9
68.9,68.5
68.9,68.6
69.4,68.1
69.5,68.1
70.3,67.7
69.9,68.4
70.7,68.6
70.6,68.3
72.4,68.1
72.5,68.4
62.7,69.4
63.9,69.0
64.5,69.4
64.8,68.9
65.4,69.4
65.8,69.3
66.3,69.0
65.8,69.6
66.8,69.2
67.2,69.7
67.3,68.9
67.5,69.1
67.9,69.0
68.4,69.2
67.6,69.6
68.5,68.8
68.6,69.2
69.1,69.1
68.6,69.0
69.2,69.3
68.6,69.2
68.5,68.9
69.7,69.4
70.4,68.7
70.0,68.8
70.3,69.4
71.3,69.4
71.3,69.5
72.6,69.2
64.4,70.0
64.9,69.9
66.3,70.0
66.0,69.7
65.7,69.8
66.7,69.9
66.6,70.3
68.3,69.8
67.9,69.9
68.0,70.3
68.3,70.7
68.8,70.4
69.1,70.4
69.0,70.6
69.4,70.2
69.8,69.9
69.6,70.2
70.5,70.3
69.9,70.3
71.0,69.8
71.2,70.5
71.5,70.0
71.6,69.7
73.2,69.9
63.9,70.9
66.0,71.4
66.0,71.2
67.5,70.8
66.7,70.7
68.3,71.3
67.7,70.9
68.3,70.9
68.4,70.9
69.1,71.2
69.1,71.3
69.7,71.2
70.0,71.4
69.6,71.6
70.0,71.0
70.9,71.2
70.6,71.4
72.3,71.4
71.5,70.9
73.0,71.3
66.2,72.1
67.3,72.0
67.8,72.0
69.1,71.7
69.4,71.9
69.6,72.2
70.1,72.3
70.2,72.6
71.3,72.0
72.1,71.8
72.3,71.8
67.1,73.1
67.9,73.4
69.1,73.2
69.6,73.4
69.7,73.2
70.5,72.9
72.4,72.8
72.8,73.3
68.1,74.0
68.6,74.6
71.3,73.9
72.1,74.6
74.7,74.3
71.2,75.1
68.3,77.2
60.4,60.8
63.9,62.4
63.1,66.4
64.0,58.5
73.9,70.0
72.0,71.0
61.0,65.0
65.4,70.5
72.0,69.2
71.3,64.9
65.2,68.8
68.9,69.9
64.5,62.5
64.0,63.3
66.5,63.5
67.1,62.9
62.3,63.9
63.8,64.3
65.4,64.2
65.6,64.6
66.2,64.3
67.6,63.8
60.2,65.7
63.0,64.8
63.6,65.6
65.2,64.7
65.1,64.8
64.8,65.1
66.2,65.6
66.2,65.3
66.6,65.1
68.0,65.1
69.0,64.8
62.1,66.0
63.2,66.4
64.5,66.4
63.8,66.3
64.6,65.8
64.6,66.1
66.1,66.5
66.0,66.3
65.7,66.6
67.1,66.0
67.3,66.5
