,zipcode,N1
0,90001,13100.0
1,90001,5900.0
2,90001,1480.0
3,90001,330.0
4,90001,160.0
5,90001,0.0
6,90002,12150.0
7,90002,5030.0
8,90002,1320.0
9,90002,340.0
10,90002,120.0
11,90002,0.0
12,90003,17260.0
13,90003,6870.0
14,90003,1550.0
15,90003,360.0
16,90003,140.0
17,90003,0.0
18,90004,14340.0
19,90004,6840.0
20,90004,2530.0
21,90004,1100.0
22,90004,1400.0
23,90004,1150.0
24,90005,8700.0
25,90005,4040.0
26,90005,1260.0
27,90005,530.0
28,90005,580.0
29,90005,320.0
30,90006,14760.0
31,90006,5770.0
32,90006,1290.0
33,90006,430.0
34,90006,330.0
35,90006,50.0
36,90007,7260.0
37,90007,3060.0
38,90007,820.0
39,90007,330.0
40,90007,210.0
41,90007,30.0
42,90008,6910.0
43,90008,3540.0
44,90008,1860.0
45,90008,960.0
46,90008,1160.0
47,90008,280.0
48,90010,840.0
49,90010,410.0
50,90010,270.0
51,90010,180.0
52,90010,270.0
53,90010,240.0
54,90011,24360.0
55,90011,9650.0
56,90011,1950.0
57,90011,500.0
58,90011,210.0
59,90011,0.0
60,90012,4780.0
61,90012,2330.0
62,90012,1160.0
63,90012,690.0
64,90012,750.0
65,90012,220.0
66,90013,2040.0
67,90013,800.0
68,90013,570.0
69,90013,370.0
70,90013,540.0
71,90013,170.0
72,90014,1410.0
73,90014,830.0
74,90014,510.0
75,90014,340.0
76,90014,410.0
77,90014,120.0
78,90015,4020.0
79,90015,1610.0
80,90015,590.0
81,90015,340.0
82,90015,560.0
83,90015,320.0
84,90016,10780.0
85,90016,6140.0
86,90016,2550.0
87,90016,1150.0
88,90016,960.0
89,90016,150.0
90,90017,4780.0
91,90017,1850.0
92,90017,690.0
93,90017,370.0
94,90017,510.0
95,90017,260.0
96,90018,11850.0
97,90018,5960.0
98,90018,1960.0
99,90018,740.0
100,90018,600.0
101,90018,110.0
102,90019,13710.0
103,90019,7630.0
104,90019,3250.0
105,90019,1550.0
106,90019,1860.0
107,90019,700.0
108,90020,8740.0
109,90020,4850.0
110,90020,1690.0
111,90020,720.0
112,90020,630.0
113,90020,370.0
114,90021,690.0
115,90021,300.0
116,90021,110.0
117,90021,80.0
118,90021,140.0
119,90021,80.0
120,90022,15290.0
121,90022,7710.0
122,90022,2400.0
123,90022,830.0
124,90022,420.0
125,90022,30.0
126,90023,10500.0
127,90023,5020.0
128,90023,1380.0
129,90023,370.0
130,90023,180.0
131,90023,30.0
132,90024,4210.0
133,90024,2300.0
134,90024,1570.0
135,90024,1240.0
136,90024,2290.0
137,90024,3080.0
138,90025,6750.0
139,90025,5600.0
140,90025,3920.0
141,90025,2500.0
142,90025,3790.0
143,90025,2550.0
144,90026,14720.0
145,90026,8300.0
146,90026,3620.0
147,90026,1740.0
148,90026,2090.0
149,90026,670.0
150,90027,9240.0
151,90027,5730.0
152,90027,3300.0
153,90027,1780.0
154,90027,2170.0
155,90027,1320.0
156,90028,7830.0
157,90028,4050.0
158,90028,1560.0
159,90028,720.0
160,90028,660.0
161,90028,250.0
162,90029,9630.0
163,90029,4610.0
164,90029,1510.0
165,90029,520.0
166,90029,550.0
167,90029,90.0
168,90031,9020.0
169,90031,4340.0
170,90031,1540.0
171,90031,630.0
172,90031,580.0
173,90031,70.0
174,90032,9420.0
175,90032,5370.0
176,90032,2360.0
177,90032,1080.0
178,90032,950.0
179,90032,70.0
180,90033,10480.0
181,90033,4620.0
182,90033,1200.0
183,90033,380.0
184,90033,220.0
185,90033,30.0
186,90034,10550.0
187,90034,8190.0
188,90034,4770.0
189,90034,2530.0
190,90034,2810.0
191,90034,1100.0
192,90035,4310.0
193,90035,2970.0
194,90035,2010.0
195,90035,1320.0
196,90035,2060.0
197,90035,1280.0
198,90036,5360.0
199,90036,4160.0
200,90036,3050.0
201,90036,1920.0
202,90036,2920.0
203,90036,1470.0
204,90037,15540.0
205,90037,6030.0
206,90037,1400.0
207,90037,360.0
208,90037,190.0
209,90037,0.0
210,90038,6970.0
211,90038,3640.0
212,90038,1220.0
213,90038,470.0
214,90038,480.0
215,90038,170.0
216,90039,5280.0
217,90039,3540.0
218,90039,2200.0
219,90039,1350.0
220,90039,1900.0
221,90039,780.0
222,90040,2680.0
223,90040,1640.0
224,90040,640.0
225,90040,270.0
226,90040,200.0
227,90040,40.0
228,90041,4450.0
229,90041,3010.0
230,90041,1870.0
231,90041,1190.0
232,90041,1780.0
233,90041,470.0
234,90042,12060.0
235,90042,7120.0
236,90042,3380.0
237,90042,1790.0
238,90042,2030.0
239,90042,380.0
240,90043,9650.0
241,90043,5250.0
242,90043,2660.0
243,90043,1360.0
244,90043,1510.0
245,90043,340.0
246,90044,22610.0
247,90044,9180.0
248,90044,2650.0
249,90044,880.0
250,90044,440.0
251,90044,30.0
252,90045,4980.0
253,90045,3380.0
254,90045,2700.0
255,90045,2020.0
256,90045,3580.0
257,90045,1810.0
258,90046,8830.0
259,90046,6800.0
260,90046,4200.0
261,90046,2370.0
262,90046,3180.0
263,90046,2000.0
264,90047,11440.0
265,90047,6500.0
266,90047,3150.0
267,90047,1330.0
268,90047,890.0
269,90047,70.0
270,90048,3380.0
271,90048,2620.0
272,90048,1910.0
273,90048,1280.0
274,90048,2050.0
275,90048,1390.0
276,90049,4010.0
277,90049,2690.0
278,90049,2170.0
279,90049,1590.0
280,90049,3230.0
281,90049,4660.0
282,90056,1310.0
283,90056,860.0
284,90056,680.0
285,90056,470.0
286,90056,810.0
287,90056,410.0
288,90057,9520.0
289,90057,3770.0
290,90057,980.0
291,90057,300.0
292,90057,220.0
293,90057,30.0
294,90058,950.0
295,90058,300.0
296,90058,80.0
297,90058,40.0
298,90058,40.0
299,90058,50.0
300,90059,9860.0
301,90059,4220.0
302,90059,1280.0
303,90059,390.0
304,90059,180.0
305,90059,0.0
306,90061,6790.0
307,90061,3150.0
308,90061,900.0
309,90061,300.0
310,90061,140.0
311,90061,20.0
312,90062,7770.0
313,90062,3980.0
314,90062,1360.0
315,90062,450.0
316,90062,240.0
317,90062,0.0
318,90063,11610.0
319,90063,6080.0
320,90063,1850.0
321,90063,600.0
322,90063,300.0
323,90063,0.0
324,90064,3890.0
