State,Race/Ethnicity,Population
Alabama,White,712200
Alabama,Black,362100
Alabama,Hispanic,76100
Alabama,Other,36700
Alabama,Total,1187100
Alaska,White,88600
Alaska,Black,5000
Alaska,Hispanic,23100
Alaska,Other,75800
Alaska,Total,192600
Arizona,White,571200
Arizona,Black,60000
Arizona,Hispanic,936800
Arizona,Other,159600
Arizona,Total,1727500
Arkansas,White,463800
Arkansas,Black,134000
Arkansas,Hispanic,75800
Arkansas,Other,62000
Arkansas,Total,735700
California,White,2786000
California,Black,484200
California,Hispanic,4849400
California,Other,1590100
California,Total,9709700
Colorado,White,740500
Colorado,Black,66400
Colorado,Hispanic,422900
Colorado,Other,116500
Colorado,Total,1346300
Connecticut,White,523600
Connecticut,Black,71500
Connecticut,Hispanic,175400
Connecticut,Other,72500
Connecticut,Total,843000
Delaware,White,112600
Delaware,Black,48300
Delaware,Hispanic,37300
Delaware,Other,17700
Delaware,Total,215800
District of Columbia,White,31200
District of Columbia,Black,68800
District of Columbia,Hispanic,18000
District of Columbia,Other,5700
District of Columbia,Total,123800
Florida,White,1944100
Florida,Black,905700
Florida,Hispanic,1327300
Florida,Other,214100
Florida,Total,4391100
Georgia,White,1142400
Georgia,Black,883100
Georgia,Hispanic,404200
Georgia,Other,184900
Georgia,Total,2614600
Hawaii,White,37700
Hawaii,Black,0
Hawaii,Hispanic,50700
Hawaii,Other,246100
Hawaii,Total,338300
Idaho,White,351100
Idaho,Black,0
Idaho,Hispanic,87000
Idaho,Other,25400
Idaho,Total,466700
Illinois,White,1734800
Illinois,Black,438600
Illinois,Hispanic,712800
Illinois,Other,250000
Illinois,Total,3136200
Indiana,White,1197100
Indiana,Black,215200
Indiana,Hispanic,231600
Indiana,Other,79600
Indiana,Total,1723500
Iowa,White,641000
Iowa,Black,34100
Iowa,Hispanic,77000
Iowa,Other,41900
Iowa,Total,793900
Kansas,White,493700
Kansas,Black,41200
Kansas,Hispanic,137200
Kansas,Other,76000
Kansas,Total,748100
Kentucky,White,770600
Kentucky,Black,111200
Kentucky,Hispanic,83000
Kentucky,Other,71500
Kentucky,Total,1036300
Louisiana,White,574700
Louisiana,Black,418200
Louisiana,Hispanic,107300
Louisiana,Other,63300
Louisiana,Total,1163400
Maine,White,243400
Maine,Black,0
Maine,Hispanic,0
Maine,Other,20500
Maine,Total,276600
Maryland,White,647900
Maryland,Black,463600
Maryland,Hispanic,180000
Maryland,Other,159200
Maryland,Total,1450700
Massachusetts,White,937600
Massachusetts,Black,133600
Massachusetts,Hispanic,251000
Massachusetts,Other,181600
Massachusetts,Total,1503800
Michigan,White,1430100
Michigan,Black,378400
Michigan,Hispanic,208100
Michigan,Other,232600
Michigan,Total,2249100
Minnesota,White,944500
Minnesota,Black,108200
Minnesota,Hispanic,107600
Minnesota,Other,200200
Minnesota,Total,1360400
Mississippi,White,385700
Mississippi,Black,318800
Mississippi,Hispanic,32800
Mississippi,Other,0
Mississippi,Total,757700
Missouri,White,1132000
Missouri,Black,194000
Missouri,Hispanic,103600
Missouri,Other,84400
Missouri,Total,1514000
Montana,White,206200
Montana,Black,2300
Montana,Hispanic,13700
Montana,Other,18300
Montana,Total,240500
Nebraska,White,345000
Nebraska,Black,30400
Nebraska,Hispanic,83200
Nebraska,Other,34800
Nebraska,Total,493400
Nevada,White,250300
Nevada,Black,86200
Nevada,Hispanic,275400
Nevada,Other,89700
Nevada,Total,701600
New Hampshire,White,248500
New Hampshire,Black,0
New Hampshire,Hispanic,15400
New Hampshire,Other,11800
New Hampshire,Total,279500
New Jersey,White,1073700
New Jersey,Black,340900
New Jersey,Hispanic,490200
New Jersey,Other,213200
New Jersey,Total,2118000
New Mexico,White,139900
New Mexico,Black,7700
New Mexico,Hispanic,274100
New Mexico,Other,105100
New Mexico,Total,526700
New York,White,2183800
New York,Black,686600
New York,Hispanic,1036000
New York,Other,593300
New York,Total,4499700
North Carolina,White,1295900
North Carolina,Black,554100
North Carolina,Hispanic,366100
North Carolina,Other,231300
North Carolina,Total,2447400
North Dakota,White,148500
North Dakota,Black,6800
North Dakota,Hispanic,8600
North Dakota,Other,18900
North Dakota,Total,182700
Ohio,White,1975900
Ohio,Black,397400
Ohio,Hispanic,150000
Ohio,Other,246100
Ohio,Total,2769500
Oklahoma,White,535600
Oklahoma,Black,95800
Oklahoma,Hispanic,170000
Oklahoma,Other,221300
Oklahoma,Total,1022700
Oregon,White,615600
Oregon,Black,0
Oregon,Hispanic,176000
Oregon,Other,121000
Oregon,Total,930300
Pennsylvania,White,1932700
Pennsylvania,Black,363300
Pennsylvania,Hispanic,378700
Pennsylvania,Other,212700
Pennsylvania,Total,2887300
Rhode Island,White,153200
Rhode Island,Black,14500
Rhode Island,Hispanic,42600
Rhode Island,Other,16900
Rhode Island,Total,227200
South Carolina,White,647200
South Carolina,Black,332300
South Carolina,Hispanic,98900
South Carolina,Other,65200
South Carolina,Total,1143600
South Dakota,White,162700
South Dakota,Black,4200
South Dakota,Hispanic,8700
South Dakota,Other,41800
South Dakota,Total,217400
Tennessee,White,1038100
Tennessee,Black,300100
Tennessee,Hispanic,158500
Tennessee,Other,79800
Tennessee,Total,1576600
Texas,White,2486600
Texas,Black,942100
Texas,Hispanic,3570000
Texas,Other,467800
Texas,Total,7466600
Utah,White,731300
Utah,Black,16600
Utah,Hispanic,145900
