State,Race/Ethnicity,Population
Alabama,White,3167600
Alabama,Black,1269200
Alabama,Hispanic,191000
Alabama,Asian,77300
Alabama,American Indian/Alaska Native,0
Alabama,Two Or More Races,56100
Alabama,Total,4768000
Alaska,White,396400
Alaska,Black,17000
Alaska,Hispanic,59200
Alaska,Asian,67200
Alaska,American Indian/Alaska Native,109900
Alaska,Two Or More Races,45900
Alaska,Total,695700
Arizona,White,3243200
Arizona,Black,274300
Arizona,Hispanic,2580500
Arizona,Asian,257600
Arizona,American Indian/Alaska Native,212500
Arizona,Two Or More Races,89100
Arizona,Total,6657200
Arkansas,White,2096500
Arkansas,Black,456900
Arkansas,Hispanic,198900
Arkansas,Asian,0
Arkansas,American Indian/Alaska Native,14800
Arkansas,Two Or More Races,65600
Arkansas,Total,2896000
California,White,15172800
California,Black,2068500
California,Hispanic,14786000
California,Asian,5662400
California,American Indian/Alaska Native,198600
California,Two Or More Races,813100
California,Total,38701300
Colorado,White,3768000
Colorado,Black,210400
Colorado,Hispanic,1113700
Colorado,Asian,124400
Colorado,American Indian/Alaska Native,0
Colorado,Two Or More Races,111300
Colorado,Total,5377400
Connecticut,White,2542900
Connecticut,Black,313400
Connecticut,Hispanic,471800
Connecticut,Asian,210500
Connecticut,American Indian/Alaska Native,0
Connecticut,Two Or More Races,33500
Connecticut,Total,3577900
Delaware,White,587400
Delaware,Black,186100
Delaware,Hispanic,97100
Delaware,Asian,40300
Delaware,American Indian/Alaska Native,0
Delaware,Two Or More Races,15300
Delaware,Total,929500
District of Columbia,White,241600
District of Columbia,Black,305900
District of Columbia,Hispanic,71100
District of Columbia,Asian,26600
District of Columbia,American Indian/Alaska Native,0
District of Columbia,Two Or More Races,11000
District of Columbia,Total,656900
Florida,White,10927500
Florida,Black,3106100
Florida,Hispanic,4916600
Florida,Asian,563000
Florida,American Indian/Alaska Native,0
Florida,Two Or More Races,185300
Florida,Total,19731100
Georgia,White,5316500
Georgia,Black,3073600
Georgia,Hispanic,959500
Georgia,Asian,409100
Georgia,American Indian/Alaska Native,0
Georgia,Two Or More Races,187700
Georgia,Total,9965100
Hawaii,White,255800
Hawaii,Black,29700
Hawaii,Hispanic,124100
Hawaii,Asian,723100
Hawaii,American Indian/Alaska Native,0
Hawaii,Two Or More Races,229500
Hawaii,Total,1365400
Idaho,White,1321900
Idaho,Black,13200
Idaho,Hispanic,204900
Idaho,Asian,22300
Idaho,American Indian/Alaska Native,0
Idaho,Two Or More Races,26400
Idaho,Total,1610200
Illinois,White,8240200
Illinois,Black,1673000
Illinois,Hispanic,2022400
Illinois,Asian,712800
Illinois,American Indian/Alaska Native,0
Illinois,Two Or More Races,141000
Illinois,Total,12797900
Indiana,White,5080300
Indiana,Black,604700
Indiana,Hispanic,557700
Indiana,Asian,162400
