hh_id,gender,mar_status,rel_rating,age,education,hh_income,empl_status,hh_internet
0,1,1,1,51,12,14,1,1
0,2,1,1,53,9,14,1,1
1,1,1,1,57,11,15,1,1
1,2,1,1,57,9,15,1,1
2,1,1,1,60,12,14,1,1
2,2,1,1,57,10,14,1,1
3,1,1,1,62,9,10,2,1
3,2,1,1,59,9,10,1,1
4,1,1,2,53,10,17,7,1
4,2,1,2,61,10,17,5,1
5,1,1,2,34,12,16,3,1
5,2,1,2,32,12,16,4,1
6,1,1,1,54,12,14,6,1
6,2,1,2,47,13,14,2,1
7,1,1,2,47,11,13,1,1
7,2,1,2,44,9,13,7,1
8,1,1,1,52,13,17,1,1
8,2,1,2,51,12,17,1,1
9,1,1,1,58,10,18,5,1
9,2,1,1,59,13,18,1,1
10,1,1,2,48,14,16,1,1
10,2,1,2,47,12,16,1,1
11,1,1,1,55,9,12,1,1
11,2,1,2,47,10,12,7,1
12,1,1,2,52,12,12,4,1
12,2,1,2,53,9,12,1,1
13,1,1,2,27,9,11,1,1
13,2,1,1,28,9,11,1,1
14,1,1,1,45,12,16,1,1
14,2,1,1,44,12,16,2,1
15,1,1,1,58,14,16,1,1
15,2,1,1,52,12,16,1,1
16,1,1,1,59,11,19,1,1
16,2,1,1,57,12,19,1,1
17,1,1,1,57,13,16,1,1
17,2,1,1,48,9,16,7,1
18,1,1,2,44,9,12,1,0
18,2,1,1,46,4,12,2,0
19,1,1,1,39,12,15,1,1
19,2,1,1,38,12,15,2,1
20,1,1,1,48,9,14,1,1
20,2,1,2,43,9,14,1,1
21,1,1,2,50,11,16,1,1
21,2,1,2,49,13,16,6,1
22,1,1,2,44,12,14,1,1
22,2,1,2,46,13,14,7,1
23,1,1,2,62,12,14,5,1
23,2,1,2,58,12,14,5,1
24,1,1,2,41,11,14,1,1
24,2,1,1,39,12,14,1,1
25,1,2,1,58,11,11,6,1
25,2,2,1,55,9,11,5,1
26,1,1,1,30,9,8,1,1
26,2,1,1,29,9,8,7,1
27,1,1,2,44,12,15,1,1
27,2,1,1,44,13,15,1,1
28,1,1,1,49,11,13,2,1
28,2,1,2,49,10,13,1,1
29,1,2,1,40,10,18,1,1
29,2,2,2,47,11,18,1,1
30,1,1,1,46,9,11,1,1
30,2,1,1,41,9,11,7,1
31,1,1,1,32,11,19,1,1
31,2,1,1,39,11,19,1,1
32,1,1,1,54,13,13,1,1
32,2,1,1,56,11,13,2,1
33,1,1,2,53,9,16,4,1
33,2,1,1,49,10,16,1,1
34,1,1,1,42,10,14,1,1
34,2,1,1,47,10,14,1,1
35,1,1,1,56,12,9,1,1
35,2,1,1,59,10,9,2,1
36,1,1,1,53,13,15,1,1
36,2,1,1,45,11,15,4,1
37,1,1,1,53,12,12,1,1
37,2,1,2,49,12,12,2,1
38,1,1,2,57,10,19,1,1
38,2,1,1,52,10,19,1,1
39,1,1,4,34,10,16,1,1
39,2,1,1,29,9,16,7,1
40,1,1,2,64,9,13,2,1
40,2,1,2,63,10,13,1,1
41,1,2,1,56,10,13,1,1
41,2,2,1,56,12,13,2,1
42,1,1,1,46,9,12,6,1
42,2,1,1,51,9,12,1,1
43,1,1,1,58,10,13,5,1
43,2,1,2,58,10,13,5,1
44,1,1,1,50,9,13,1,1
44,2,1,1,60,10,13,1,1
45,1,1,2,56,9,4,6,1
45,2,1,2,59,9,4,6,1
46,1,1,1,49,9,17,1,1
46,2,1,1,48,10,17,1,1
