Year,Total Gross,Number of Movies,#1 Movie
2015,11128.5,702,Star Wars: The Force Awakens
2014,10360.8,702,American Sniper
2013,10923.6,688,Catching Fire
2012,10837.4,667,The Avengers
2011,10174.3,602,Harry Potter / Deathly Hallows (P2)
2010,10565.6,536,Toy Story 3
2009,10595.5,521,Avatar
2008,9630.7,608,The Dark Knight
2007,9663.8,631,Spider-Man 3
2006,9209.5,608,Dead Man's Chest
2005,8840.5,547,Revenge of the Sith
2004,9380.5,551,Shrek 2
2003,9239.7,506,Return of the King
2002,9155,479,Spider-Man
2001,8412.5,482,Harry Potter / Sorcerer's Stone
2000,7661,478,The Grinch
1999,7448,461,The Phantom Menace
1998,6949,509,Saving Private Ryan
1997,6365.9,510,Titanic
1996,5911.5,471,Independence Day
1995,5493.5,411,Toy Story
1994,5396.2,453,Forrest Gump
1993,5154.2,462,Jurassic Park
1992,4871,480,Aladdin
1991,4803.2,458,Terminator 2
1990,5021.8,410,Home Alone
1989,5033.4,502,Batman
1988,4458.4,510,Rain Man
1987,4252.9,509,Three Men and a Baby
1986,3778,451,Top Gun
1985,3749.2,470,Back to the Future
1984,4031,536,Beverly Hills Cop
1983,3766,495,Return of the Jedi
1982,3453,428,E.T.
1981,2966,173,Raiders / Lost Ark
1980,2749,161,The Empire Strikes Back
