Name,Position,Height,Weight,Age in 2013
DeQuan Jones,Guard,80,221,23
Darius Miller,Guard,80,235,23
Trevor Ariza,Guard,80,210,28
James Jones,Guard,80,215,32
Wesley Johnson,Guard,79,215,26
Klay Thompson,Guard,79,205,23
Thabo Sefolosha,Guard,79,215,29
Chase Budinger,Guard,79,218,25
Kevin Martin,Guard,79,185,30
Evan Fournier,Guard,79,206,20
Ronnie Brewer,Guard,79,235,28
Ricky Ledo,Guard,79,197,21
James Ennis,Guard,79,201,23
Kyle Korver,Guard,79,212,32
Sergey Karasev,Guard,79,197,19
DeMar DeRozan,Guard,79,217,24
Shaun Livingston,Guard,79,185,28
Joe Johnson,Guard,79,240,32
Greivis Vasquez,Guard,78,211,26
Kobe Bryant,Guard,78,205,35
Nick Young,Guard,78,200,28
Alec Burks,Guard,78,195,22
Allen Crabbe,Guard,78,200,21
Will Barton,Guard,78,174,22
Alexey Shved,Guard,78,190,24
Shabazz Muhammad,Guard,78,225,20
Danny Green,Guard,78,210,26
Tyreke Evans,Guard,78,220,24
Nick Calathes,Guard,78,194,24
Reggie Williams,Guard,78,205,27
D.J. Kennedy,Guard,78,215,23
Garrett Temple,Guard,78,195,27
Glen Rice Jr.,Guard,78,211,22
Damien Wilkins,Guard,78,225,33
Kentavious Caldwell-Pope,Guard,78,205,20
Carrick Felix,Guard,78,200,23
C.J. Miles,Guard,78,222,26
Julyan Stone,Guard,78,200,24
Jason Richardson,Guard,78,225,32
Michael Carter-Williams,Guard,78,185,21
Tony Wroten,Guard,78,208,20
James Anderson,Guard,78,215,24
Iman Shumpert,Guard,78,220,23
Tim Hardaway Jr.,Guard,78,205,21
Ben McLemore,Guard,77,195,20
Trent Lockett,Guard,77,210,22
Malcolm Lee,Guard,77,200,23
Archie Goodwin,Guard,77,189,19
Dionte Christmas,Guard,77,205,27
Jamal Crawford,Guard,77,200,33
Kent Bazemore,Guard,77,201,24
Elliot Williams,Guard,77,183,24
Wesley Matthews,Guard,77,220,26
Jeremy Lamb,Guard,77,180,21
Lorenzo Brown,Guard,77,189,23
Nando De Colo,Guard,77,200,26
Marco Belinelli,Guard,77,200,27
Roger Mason Jr.,Guard,77,205,33
Anthony Morrow,Guard,77,210,27
Jamaal Franklin,Guard,77,205,22
James Harden,Guard,77,220,24
Victor Oladipo,Guard,77,214,21
Arron Afflalo,Guard,77,215,27
Ray Allen,Guard,77,205,38
Orlando Johnson,Guard,77,220,24
Lance Stephenson,Guard,77,210,23
Ron Howard,Guard,77,200,30
Rodney Stuckey,Guard,77,205,27
Daequan Cook,Guard,77,210,26
Vander Blue,Guard,77,197,21
MarShon Brooks,Guard,77,200,24
Courtney Lee,Guard,77,200,27
Keith Bogans,Guard,77,215,33
Marcus Thornton,Guard,76,205,26
Shannon Brown,Guard,76,210,27
Kendall Marshall,Guard,76,195,22
Diante Garrett,Guard,76,190,24
Jodie Meeks,Guard,76,208,26
J.J. Redick,Guard,76,190,29
Terrel Harris,Guard,76,190,26
Ricky Rubio,Guard,76,180,22
Randy Foye,Guard,76,213,29
Austin Rivers,Guard,76,200,21
Jrue Holiday,Guard,76,180,23
Tony Allen,Guard,76,213,31
Gal Mekel,Guard,76,200,25
Wayne Ellington,Guard,76,200,25
Bradley Beal,Guard,76,207,20
