PLAYER,POSITION,TEAM,'15-'16 SALARY
Paul Millsap,PF,Atlanta Hawks,18.671659
Al Horford,C,Atlanta Hawks,12.0
Tiago Splitter,C,Atlanta Hawks,9.75625
Jeff Teague,PG,Atlanta Hawks,8.0
Kyle Korver,SG,Atlanta Hawks,5.746479
Thabo Sefolosha,SF,Atlanta Hawks,4.0
Mike Scott,PF,Atlanta Hawks,3.333333
Kent Bazemore,SF,Atlanta Hawks,2.0
Dennis Schroder,PG,Atlanta Hawks,1.7634
Tim Hardaway Jr.,SG,Atlanta Hawks,1.3045200000000001
Walter Tavares,C,Atlanta Hawks,1.0
Jason Richardson,SG,Atlanta Hawks,0.947276
Lamar Patterson,SG,Atlanta Hawks,0.525093
Terran Petteway,SG,Atlanta Hawks,0.525093
Avery Bradley,PG,Boston Celtics,7.730337
Isaiah Thomas,PG,Boston Celtics,6.912869000000001
Jae Crowder,SF,Boston Celtics,6.796117
Jonas Jerebko,PF,Boston Celtics,5.0
Marcus Smart,PG,Boston Celtics,3.4310400000000003
Evan Turner,SG,Boston Celtics,3.42551
Tyler Zeller,C,Boston Celtics,2.616975
Jared Sullinger,C,Boston Celtics,2.56926
Kelly Olynyk,C,Boston Celtics,2.1651599999999998
Perry Jones,SF,Boston Celtics,2.038206
Terry Rozier,PG,Boston Celtics,1.8243599999999998
James Young,SG,Boston Celtics,1.74984
Zoran Dragic,SG,Boston Celtics,1.706225
Jordan Mickey,PF,Boston Celtics,1.17096
R.J. Hunter,SG,Boston Celtics,1.1486399999999999
Joe Johnson,SF,Brooklyn Nets,24.894863
Thaddeus Young,PF,Brooklyn Nets,11.235955
Jarrett Jack,PG,Brooklyn Nets,6.3
Bojan Bogdanovic,SG,Brooklyn Nets,3.42551
Sergey Karasev,SG,Brooklyn Nets,1.59984
Wayne Ellington,SG,Brooklyn Nets,1.5
Shane Larkin,PG,Brooklyn Nets,1.5
Andrea Bargnani,C,Brooklyn Nets,1.362897
Rondae Hollis-Jefferson,SG,Brooklyn Nets,1.33548
Earl Clark,SF,Brooklyn Nets,1.185784
Chris McCullough,PF,Brooklyn Nets,1.14024
Thomas Robinson,PF,Brooklyn Nets,0.981348
Markel Brown,SG,Brooklyn Nets,0.845059
Al Jefferson,C,Charlotte Hornets,13.5
Nicolas Batum,SG,Charlotte Hornets,13.125306
Kemba Walker,PG,Charlotte Hornets,12.0
Marvin Williams,PF,Charlotte Hornets,7.0
Michael Kidd-Gilchrist,SF,Charlotte Hornets,6.331404
Spencer Hawes,PF,Charlotte Hornets,6.110034
Courtney Lee,SG,Charlotte Hornets,5.675
Cody Zeller,C,Charlotte Hornets,4.2042
Jeremy Lamb,SG,Charlotte Hornets,3.0343560000000003
Brian Roberts,PG,Charlotte Hornets,2.85494
Frank Kaminsky III,C,Charlotte Hornets,2.61252
Jeremy Lin,PG,Charlotte Hornets,2.1390000000000002
P.J. Hairston,SF,Charlotte Hornets,1.20144
Damien Wilkins,SG,Charlotte Hornets,0.947276
Jorge Gutierrez,PG,Charlotte Hornets,0.947276
Tyler Hansbrough,PF,Charlotte Hornets,0.947276
Troy Daniels,SG,Charlotte Hornets,0.947276
Aaron Harrison,SG,Charlotte Hornets,0.525093
Derrick Rose,PG,Chicago Bulls,20.093064000000002
Jimmy Butler,SG,Chicago Bulls,16.4075
Joakim Noah,C,Chicago Bulls,13.4
Pau Gasol,C,Chicago Bulls,7.448760000000001
Nikola Mirotic,PF,Chicago Bulls,5.543725
Mike Dunleavy,SG,Chicago Bulls,4.5
Kirk Hinrich,SG,Chicago Bulls,2.85494
Doug McDermott,SF,Chicago Bulls,2.38044
Aaron Brooks,PG,Chicago Bulls,2.25
Tony Snell,SF,Chicago Bulls,1.53588
Bobby Portis,PF,Chicago Bulls,1.39116
E'Twaun Moore,SG,Chicago Bulls,1.015421
LeBron James,SF,Cleveland Cavaliers,22.9705
Kevin Love,PF,Cleveland Cavaliers,19.689
Kyrie Irving,PG,Cleveland Cavaliers,16.407501
Tristan Thompson,C,Cleveland Cavaliers,14.26087
Brendan Haywood,C,Cleveland Cavaliers,10.5225
Iman Shumpert,SG,Cleveland Cavaliers,8.988764999999999
Timofey Mozgov,C,Cleveland Cavaliers,4.95
Mo Williams,PG,Cleveland Cavaliers,2.1
Sasha Kaun,C,Cleveland Cavaliers,1.276
Matthew Dellavedova,PG,Cleveland Cavaliers,1.147276
David Lee,PF,Dallas Mavericks,15.49368
Chandler Parsons,SF,Dallas Mavericks,15.3615
Dirk Nowitzki,PF,Dallas Mavericks,8.333333999999999
