SEX,AGE,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014
0,0,3944153,3944160,3951330,3963071,3926665,3945610,3948350
0,1,3978070,3978090,3957888,3966510,3978006,3943077,3962123
0,2,4096929,4096939,4090862,3971573,3979952,3992690,3957772
0,3,4119040,4119051,4111920,4102501,3983049,3992425,4005190
0,4,4063170,4063186,4077552,4122303,4112638,3994047,4003448
0,5,4056858,4056872,4064653,4087713,4132210,4123408,4004858
0,6,4066381,4066412,4073013,4074979,4097780,4143094,4134352
0,7,4030579,4030594,4043047,4083240,4084964,4108615,4154000
0,8,4046486,4046497,4025604,4053206,4093213,4095827,4119524
0,9,4148353,4148369,4125415,4035769,4063193,4104133,4106832
0,10,4172541,4172559,4187063,4135617,4045840,4074206,4115254
0,11,4114415,4114443,4115511,4197472,4145919,4057128,4085636
0,12,4106243,4106261,4113280,4126168,4208013,4157449,4068790
0,13,4118013,4118055,4119666,4124244,4136951,4219776,4169346
0,14,4165982,4166059,4145614,4131487,4135749,4149559,4232480
0,15,4242820,4242946,4231003,4158977,4144326,4149781,4163723
0,16,4316139,4316311,4313252,4247472,4174855,4161624,4167234
0,17,4395295,4395475,4376368,4334957,4268503,4197758,4184706
0,18,4500855,4501114,4491005,4402634,4360345,4296134,4225590
0,19,4585234,4585665,4571385,4520683,4430960,4390087,4326394
0,20,4519129,4519500,4568470,4600421,4550552,4459958,4418887
0,21,4354294,4354571,4387914,4596145,4633178,4580949,4489746
0,22,4264642,4264928,4286987,4415297,4628678,4666392,4612322
0,23,4198571,4198852,4217221,4314751,4447266,4661403,4698584
0,24,4249363,4249602,4243589,4244542,4346226,4479243,4692635
0,25,4262350,4262575,4289424,4269956,4275655,4377385,4509594
0,26,4152305,4152593,4160810,4313805,4299059,4305217,4406472
0,27,4248869,4249120,4237010,4183474,4340038,4326704,4332545
0,28,4215249,4215497,4247540,4258146,4207330,4364812,4351851
0,29,4223076,4223293,4210285,4266588,4280142,4230048,4387476
0,30,4285668,4285872,4304244,4227415,4285874,4300627,4250780
0,31,3970218,3970415,4042507,4319572,4244611,4303694,4318706
0,32,3986847,3987023,3967603,4055955,4335235,4261256,4320072
0,33,3880150,3880318,3933570,3980018,4069723,4349928,4276113
0,34,3839216,3839365,3822188,3944620,3992611,4082539,4362895
0,35,3956434,3956604,3948318,3832502,3955942,4004456,4094039
0,36,3802087,3802240,3830202,3957029,3842263,3965564,4014413
0,37,3934445,3934593,3896776,3837814,3965664,3851119,3974190
0,38,4121880,4122077,4080229,3903277,3845503,3973390,3859181
0,39,4364796,4364947,4324460,4085771,3909207,3851949,3979827
0,40,4383274,4383452,4387483,4327743,4090134,3913982,3856888
0,41,4114985,4115145,4163470,4388941,4330257,4093483,3917413
0,42,4076104,4076277,4082733,4164004,4390026,4331851,4095929
0,43,4105105,4105267,4093841,4082479,4164073,4389840,4332491
0,44,4211496,4211676,4178501,4092604,4081719,4163387,4388762
0,45,4508868,4509037,4438551,4175439,4090411,4079605,4161450
0,46,4519761,4519932,4529712,4433594,4171208,4086799,4076237
0,47,4535265,4535440,4535464,4522493,4427137,4165962,4082150
0,48,4538796,4538966,4534669,4526007,4513643,4418934,4158996
0,49,4605901,4606057,4599102,4523366,4515116,4503246,4409209
0,50,4660295,4660473,4646251,4585728,4510701,4502720,4491431
0,51,4464631,4464796,4498994,4631187,4570693,4496145,4488666
0,52,4500846,4501007,4480630,4482274,4613986,4553710,4480175
0,53,4380354,4380504,4439422,4462028,4463630,4595211,4535748
0,54,4291999,4292148,4288475,4419019,4441593,4443510,4574789
0,55,4254709,4254834,4259012,4266705,4396537,4419299,4421625
0,56,4037513,4037626,4093161,4236097,4243307,4372416,4395471
0,57,3936386,3936487,3946548,4069059,4211174,4218311,4347179
0,58,3794928,3795026,3802467,3921318,4043248,4184160,4191757
0,59,3641269,3641371,3694276,3776136,3894493,4015049,4155417
0,60,3621131,3621217,3616733,3667142,3748044,3865188,3985367
0,61,3492596,3492665,3520121,3588516,3637748,3717715,3834428
0,62,3563182,3563271,3495073,3489637,3557701,3605936,3685822
0,63,3483884,3483951,3652174,3461414,3456782,3523891,3572379
0,64,2657131,2657198,2706063,3614400,3425920,3421079,3488136
0,65,2680761,2680825,2678532,2675970,3574806,3388166,3384449
0,66,2639141,2639211,2621346,2646389,2644091,3531557,3347776
0,67,2649365,2649425,2693709,2586335,2612156,2609726,3485502
0,68,2323672,2323738,2359819,2654140,2548804,2574784,2572527
0,69,2142324,2142381,2167833,2321963,2612207,2508782,2535012
0,70,2043121,2043181,2062581,2129733,2282169,2567340,2466485
0,71,1949323,1949392,1953614,2023019,2090057,2239534,2519748
0,72,1864275,1864324,1883821,1912459,1981768,2047549,2194234
0,73,1736960,1737022,1750309,1840179,1869510,1937455,2002191
0,74,1684487,1684564,1685999,1705665,1794816,1823535,1890366
0,75,1620077,1620158,1631879,1638735,1659415,1746314,1774697
0,76,1471070,1471157,1481683,1581387,1589617,1609791,1694648
0,77,1455330,1455415,1449173,1430885,1529072,1537153,1557239
0,78,1400123,1400205,1402184,1394601,1378456,1473161,1481505
0,79,1371195,1371312,1354913,1343759,1338342,1322661,1414235
0,80,1308511,1308608,1319725,1292479,1283654,1278653,1264072
0,81,1212865,1212976,1212603,1252515,1228370,1219980,1216009
0,82,1161421,1161546,1158352,1143972,1183753,1160857,1153634
0,83,1074809,1074942,1081442,1085393,1073879,1111333,1090465
0,84,985721,985854,987026,1005439,1011221,1000403,1036186
0,85,914723,914871,915015,909449,928851,934211,924969
0,86,814211,814341,821550,835003,832128,850026,855696
0,87,712908,713046,721195,741557,756235,753560,770685
0,88,640619,640765,636657,643272,663894,677229,675487
0,89,537998,538160,546193,560102,568779,587159,599834
0,90,435563,435695,448323,473899,488100,496118,512845
0,91,344987,345128,344443,382686,407002,419045,426946
0,92,281389,281498,288841,289272,323068,344040,354532
0,93,216978,217087,219063,238069,240255,268022,286333
0,94,169449,169525,170775,176699,193908,196079,218655
0,95,129717,129792,131077,135059,140737,154790,157124
0,96,95223,95288,97161,101256,105454,109697,121184
0,97,68138,68168,68893,73279,77180,80524,83731
0,98,45900,45938,47037,50665,54530,57453,60185
0,99,32266,32289,32178,33641,36780,39606,41828
0,100,53364,53412,54409,57703,61845,66748,72197
0,999,308745538,308758105,309347057,311721632,314112078,316497531,318857056
1,0,2014276,2014278,2018420,2028434,2007693,2015537,2017857
1,1,2030853,2030861,2020332,2025493,2035380,2015352,2023253
1,2,2092198,2092202,2088685,2026975,2032008,2042522,2022502
1,3,2104550,2104555,2101272,2094310,2032562,2038085,2048618
1,4,2077550,2077556,2084312,2106354,2099244,2037953,2043498
1,5,2072094,2072102,2076573,2089461,2111381,2104725,2043467
1,6,2075319,2075330,2079410,2081802,2094576,2116922,2110328
1,7,2057076,2057082,2063139,2084356,2086621,2099841,2122240
1,8,2065453,2065459,2054462,2067977,2089102,2091869,2105122
1,9,2119696,2119702,2107037,2059312,2072752,2094425,2097272
1,10,2135996,2136007,2142168,2111886,2064128,2078108,2099874
1,11,2103264,2103284,2104797,2147112,2116780,2069595,2083687
1,12,2100145,2100156,2103650,2109811,2152093,2122312,2075243
1,13,2104914,2104932,2104949,2108976,2115010,2157858,2128187
1,14,2135543,2135596,2122913,2110785,2114607,2121285,2164228
1,15,2177022,2177104,2170442,2129579,2117125,2121660,2128424
1,16,2216034,2216153,2215032,2179123,2137897,2126276,2130938
1,17,2263153,2263294,2252838,2226783,2190437,2150277,2138809
1,18,2305473,2305664,2305733,2266716,2240121,2205027,2165062
1,19,2341984,2342297,2334906,2321580,2281573,2255477,2220790
1,20,2308319,2308580,2331846,2350022,2337541,2296103,2269570
1,21,2223198,2223412,2241095,2345467,2368174,2352872,2310734
1,22,2177797,2178049,2188228,2253415,2362560,2385044,2367842
1,23,2140799,2141048,2151095,2199885,2269242,2378020,2399883
1,24,2164063,2164272,2161380,2162004,2214632,2283478,2391398
1,25,2161308,2161511,2177171,2171072,2176181,2227806,2295836
1,26,2097088,2097347,2102375,2185901,2184318,2188750,2240026
1,27,2140651,2140880,2135214,2110648,2197584,2196457,2200429
