SEX,AGE,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015
0,0,3944153,3944160,3951330,3963087,3926540,3931141,3949775,3978038
0,1,3978070,3978090,3957888,3966551,3977939,3942872,3949776,3968564
0,2,4096929,4096939,4090862,3971565,3980095,3992720,3959664,3966583
0,3,4119040,4119051,4111920,4102470,3983157,3992734,4007079,3974061
0,4,4063170,4063186,4077551,4122294,4112849,3994449,4005716,4020035
0,5,4056858,4056872,4064653,4087709,4132242,4123626,4006900,4018158
0,6,4066381,4066412,4073013,4074993,4097605,4142916,4135930,4019207
0,7,4030579,4030594,4043046,4083225,4084913,4108349,4155326,4148360
0,8,4046486,4046497,4025604,4053203,4093177,4095711,4120903,4167887
0,9,4148353,4148369,4125415,4035710,4063152,4104072,4108349,4133564
0,10,4172541,4172559,4187062,4135613,4045779,4074111,4116942,4121289
0,11,4114415,4114443,4115511,4197472,4146000,4057152,4087402,4130328
0,12,4106243,4106261,4113279,4126117,4208009,4157476,4070682,4101021
0,13,4118013,4118055,4119666,4124219,4136683,4219594,4171030,4084306
0,14,4165982,4166059,4145614,4131501,4135460,4148966,4233839,4185386
0,15,4242820,4242946,4231002,4158941,4144019,4149121,4164796,4249742
0,16,4316139,4316311,4313252,4247444,4174379,4160892,4168559,4184296
0,17,4395295,4395475,4376367,4334976,4268074,4196841,4186513,4194286
0,18,4500855,4501114,4491005,4402578,4359870,4295311,4227920,4217995
0,19,4585234,4585701,4571411,4520659,4430212,4388983,4329038,4262584
0,20,4519129,4519556,4568517,4600425,4549989,4458717,4421330,4363440
0,21,4354294,4354603,4387956,4596166,4632892,4580130,4492373,4456790
0,22,4264642,4264946,4287005,4415300,4628459,4665965,4615729,4529472
0,23,4198571,4198859,4217228,4314771,4446836,4660804,4702156,4652266
0,24,4249363,4249609,4243602,4244555,4345405,4477806,4695411,4737345
0,25,4262350,4262583,4289428,4269914,4274505,4375341,4511370,4729564
0,26,4152305,4152598,4160806,4313743,4298276,4303348,4408043,4544416
0,27,4248869,4249132,4237026,4183423,4340058,4325959,4334806,4439766
0,28,4215249,4215502,4247541,4258087,4207400,4364997,4355240,4364669
0,29,4223076,4223292,4210286,4266544,4280262,4230388,4391788,4383139
0,30,4285668,4285877,4304239,4227388,4286351,4301333,4255334,4417209
0,31,3970218,3970416,4042516,4319518,4244957,4304735,4323217,4278233
0,32,3986847,3987041,3967602,4055945,4335012,4261440,4323951,4343614
0,33,3880150,3880318,3933581,3979999,4069367,4349412,4278664,4341754
0,34,3839216,3839372,3822189,3944594,3992461,4081963,4364748,4294838
0,35,3956434,3956625,3948335,3832507,3955953,4004249,4095782,4379404
0,36,3802087,3802236,3830199,3957062,3842465,3965855,4016711,4108775
0,37,3934445,3934593,3896766,3837775,3965930,3851572,3976750,4028403
0,38,4121880,4122089,4080228,3903219,3845592,3973859,3861636,3987141
0,39,4364796,4364949,4324463,4085665,3909562,3852500,3982507,3870862
0,40,4383274,4383450,4387480,4327667,4090348,3914669,3859395,3989839
0,41,4114985,4115155,4163478,4388870,4330376,4093892,3919810,3865228
0,42,4076104,4076260,4082712,4163973,4390089,4332009,4097698,3924258
0,43,4105105,4105285,4093844,4082407,4164092,4390066,4333850,4100708
0,44,4211496,4211684,4178508,4092574,4081644,4163434,4390283,4335165
0,45,4508868,4509044,4438559,4175437,4090390,4079456,4162629,4389345
0,46,4519761,4519941,4529716,4433561,4171181,4086735,4077151,4160573
0,47,4535265,4535450,4535473,4522447,4427056,4165790,4082883,4073685
0,48,4538796,4538968,4534663,4525970,4513628,4418987,4159738,4077689
0,49,4605901,4606060,4599098,4523285,4515219,4503312,4410246,4152552
0,50,4660295,4660457,4646231,4585687,4510749,4502956,4492407,4400288
0,51,4464631,4464779,4498974,4631123,4570562,4496079,4489393,4479664
0,52,4500846,4500963,4480584,4482225,4613728,4553156,4480188,4474344
0,53,4380354,4380489,4439403,4461939,4463445,4594750,4535430,4463494
0,54,4291999,4292120,4288447,4418949,4441616,4443259,4574760,4516527
0,55,4254709,4254809,4258970,4266666,4396744,4419516,4421856,4553385
0,56,4037513,4037601,4093136,4236030,4243306,4372503,4395949,4399120
0,57,3936386,3936450,3946518,4069019,4211105,4218041,4347023,4371245
0,58,3794928,3795015,3802447,3921219,4043361,4184031,4191360,4320522
0,59,3641269,3641349,3694254,3776077,3894584,4015151,4155521,4163670
0,60,3621131,3621214,3616721,3667096,3748195,3865421,3985598,4125792
0,61,3492596,3492656,3520109,3588440,3637901,3717783,3834367,3954601
0,62,3563182,3563260,3495059,3489560,3557636,3605696,3685282,3801935
0,63,3483884,3483943,3652167,3461369,3456712,3523650,3571610,3651393
0,64,2657131,2657194,2706055,3614375,3425798,3420461,3487559,3536156
0,65,2680761,2680815,2678525,2675911,3574749,3387120,3382824,3450043
0,66,2639141,2639209,2621335,2646364,2644042,3531521,3347060,3344134
0,67,2649365,2649426,2693707,2586302,2612002,2609390,3485241,3304187
0,68,2323672,2323736,2359816,2654106,2548669,2574501,2572359,3436357
0,69,2142324,2142381,2167830,2321925,2612071,2507744,2534295,2532747
0,70,2043121,2043178,2062577,2129707,2282127,2566440,2465438,2492490
0,71,1949323,1949391,1953607,2022972,2090119,2238833,2519705,2421191
0,72,1864275,1864324,1883820,1912417,1981694,2046698,2193945,2469605
0,73,1736960,1737022,1750304,1840167,1869373,1936421,2001700,2146052
0,74,1684487,1684563,1685995,1705634,1794659,1822287,1889513,1953711
0,75,1620077,1620158,1631878,1638711,1659254,1745063,1773756,1839823
0,76,1471070,1471157,1481680,1581369,1589520,1608544,1693674,1722041
0,77,1455330,1455414,1449173,1430861,1529021,1535823,1556104,1639085
0,78,1400123,1400205,1402182,1394591,1378355,1472041,1480611,1500813
0,79,1371195,1371312,1354912,1343720,1338220,1321253,1413193,1422071
0,80,1308511,1308608,1319725,1292451,1283388,1277015,1262537,1351196
0,81,1212865,1212976,1212603,1252491,1228132,1218174,1214357,1201044
0,82,1161421,1161546,1158351,1143940,1183585,1158932,1151677,1148948
0,83,1074809,1074941,1081440,1085378,1073723,1109508,1088601,1082562
0,84,985721,985854,987023,1005421,1011083,998540,1034369,1015591
0,85,914723,914871,915013,909434,928705,932175,922947,957023
0,86,814211,814341,821549,834977,831965,848046,853723,846081
0,87,712908,713046,721196,741551,756097,751513,768676,774639
0,88,640619,640765,636657,643266,663786,675235,673402,689755
0,89,537998,538160,546193,560099,568661,585180,597828,596847
0,90,435563,435695,448324,473878,487975,494402,511074,523034
