Group,Outcome if assigned treatment,Outcome if assigned control
Control,Unknown,1
Control,Unknown,1
Control,Unknown,0
Control,Unknown,0
Control,Unknown,0
Control,Unknown,0
Control,Unknown,0
Control,Unknown,0
Control,Unknown,0
Control,Unknown,0
Control,Unknown,0
Control,Unknown,0
Control,Unknown,0
Control,Unknown,0
Control,Unknown,0
Control,Unknown,0
Treatment,1,Unknown
Treatment,1,Unknown
Treatment,1,Unknown
Treatment,1,Unknown
Treatment,1,Unknown
Treatment,1,Unknown
Treatment,1,Unknown
Treatment,1,Unknown
Treatment,1,Unknown
Treatment,0,Unknown
Treatment,0,Unknown
Treatment,0,Unknown
Treatment,0,Unknown
Treatment,0,Unknown
Treatment,0,Unknown
