State,Participation Rate,Critical Reading,Math,Writing,Combined
North Dakota,2.3,612,620,584,1816
Illinois,4.6,599,616,587,1802
Iowa,3.1,605,611,578,1794
South Dakota,2.9,604,609,579,1792
Minnesota,5.9,598,610,578,1786
Michigan,3.8,593,610,581,1784
Wisconsin,3.9,596,608,578,1782
Missouri,4.2,595,597,579,1771
Wyoming,3.3,590,599,573,1762
Kansas,5.3,591,596,566,1753
Kentucky,4.6,589,585,572,1746
Nebraska,3.7,589,587,569,1745
Colorado,14.3,582,586,567,1735
Mississippi,3.2,583,566,565,1714
Tennessee,7.9,578,570,566,1714
Arkansas,4.2,573,571,554,1698
Oklahoma,4.5,576,571,550,1697
Utah,5.2,571,568,551,1690
Louisiana,4.6,561,556,550,1667
Ohio,15.1,555,562,535,1652
Montana,17.9,555,552,530,1637
Alabama,6.7,547,538,532,1617
New Mexico,12.3,548,543,526,1617
New Hampshire,70.3,524,530,512,1566
Massachusetts,84.1,516,531,509,1556
Vermont,63.1,522,525,507,1554
Arizona,36.4,522,525,500,1547
Oregon,47.9,523,522,499,1544
Virginia,73.1,518,515,497,1530
New Jersey,79.3,501,523,502,1526
Connecticut,88.4,507,510,508,1525
West Virginia,14.8,517,505,500,1522
Washington,63.1,510,518,491,1519
California,60.3,498,510,496,1504
Alaska,54.2,507,503,475,1485
North Carolina,63.8,499,507,477,1483
Pennsylvania,71.4,497,504,480,1481
Rhode Island,73,497,496,487,1480
Indiana,70.5,497,500,477,1474
Maryland,78.5,492,495,481,1468
New York,76.3,488,502,478,1468
Hawaii,62.6,484,504,472,1460
Nevada,54.2,495,494,469,1458
Florida,72.2,491,485,472,1448
Georgia,77.2,488,485,472,1445
South Carolina,64.9,488,490,465,1443
Texas,62,476,495,461,1432
Maine,95.6,467,471,449,1387
Idaho,100,458,456,450,1364
Delaware,100,456,459,444,1359
District of Columbia,100,440,438,431,1309
