Section,Midterm
1,22
2,12
2,23
2,14
1,20
3,25
4,19
1,24
5,8
6,14
5,24
7,25
8,22
1,0
9,18
5,24
10,9
5,16
9,0
9,14
6,11
11,13
11,10
8,24
7,22
1,13
7,25
8,17
3,10
7,6
5,21
1,25
12,16
3,20
1,12
5,24
10,12
11,0
2,17
4,14
8,16
11,22
10,18
8,9
1,13
5,23
1,21
9,4
7,9
11,24
12,15
6,18
4,24
8,0
10,7
8,20
9,17
10,12
4,12
1,21
4,0
9,14
11,19
12,18
10,0
11,17
8,19
1,8
7,22
11,25
12,19
4,13
2,17
12,17
1,10
6,10
4,19
6,14
6,11
2,14
4,22
12,13
8,8
4,13
4,18
12,11
8,16
2,14
8,24
4,15
9,19
12,18
5,17
10,17
1,18
1,15
9,17
12,20
2,18
5,16
10,0
6,0
12,21
4,13
6,9
12,25
10,19
7,20
6,18
3,8
5,24
2,15
3,22
11,22
3,0
10,13
8,13
2,17
4,11
12,10
7,11
7,10
11,17
1,15
5,18
5,21
1,20
1,11
1,25
8,7
3,15
2,11
7,17
1,13
9,18
8,23
6,19
5,13
9,23
7,24
3,23
2,17
10,11
2,16
8,15
10,14
2,11
10,12
1,22
7,25
12,9
3,23
6,24
1,21
9,25
10,20
8,21
12,22
4,7
2,24
12,10
2,19
6,21
9,16
10,13
5,22
7,11
10,16
7,10
8,19
10,14
6,13
6,16
6,9
12,16
4,9
4,8
5,10
9,4
2,21
9,18
3,18
9,0
11,25
8,18
12,11
9,12
11,18
7,21
10,18
7,10
5,12
3,23
11,21
9,11
2,13
5,15
4,21
3,9
10,16
3,20
1,1
2,18
2,8
3,10
5,25
6,14
5,22
9,11
5,7
2,13
10,22
9,21
10,11
6,9
4,18
5,10
9,16
11,0
6,21
6,11
8,15
7,17
11,14
12,10
5,14
4,10
8,16
2,22
12,19
2,20
11,18
4,11
6,17
6,20
5,12
1,20
7,15
7,23
2,0
6,23
3,0
9,16
7,17
3,10
10,19
1,14
4,20
12,13
12,20
3,22
12,23
3,18
11,11
6,20
12,12
9,16
4,14
2,21
12,10
1,14
10,17
2,11
10,21
11,18
9,25
7,21
9,12
9,8
5,11
4,15
5,15
10,9
3,4
8,18
5,13
7,12
2,17
1,19
12,10
6,17
4,24
6,15
11,15
8,9
10,21
4,14
10,22
9,19
1,9
11,13
9,0
12,22
4,13
6,17
6,12
8,23
4,11
6,16
8,25
9,24
1,14
9,23
5,20
8,18
8,16
4,19
7,9
2,23
5,21
6,17
1,15
11,11
3,16
10,20
1,21
6,17
2,5
3,7
11,18
10,21
5,21
11,13
8,13
6,10
11,12
10,21
3,11
7,17
3,11
8,8
12,13
4,21
5,9
10,15
11,10
3,0
11,25
10,21
4,15
10,23
5,24
12,19
5,20
1,0
6,18
3,16
1,23
2,0
3,11
12,14
9,16
8,21
3,17
5,24
2,16
2,17
12,16
10,14
