Title,Studio,Gross,Gross (Adjusted),Year
Star Wars: The Force Awakens,Buena Vista (Disney),906723418,906723400,2015
Avatar,Fox,760507625,846120800,2009
Titanic,Paramount,658672302,1178627900,1997
Jurassic World,Universal,652270625,687728000,2015
Marvel's The Avengers,Buena Vista (Disney),623357910,668866600,2012
The Dark Knight,Warner Bros.,534858444,647761600,2008
Star Wars: Episode I - The Phantom Menace,Fox,474544677,785715000,1999
Star Wars,Fox,460998007,1549640500,1977
Avengers: Age of Ultron,Buena Vista (Disney),459005868,465684200,2015
The Dark Knight Rises,Warner Bros.,448139099,500961700,2012
Shrek 2,Dreamworks,441226247,618143100,2004
E.T.: The Extra-Terrestrial,Universal,435110554,1234132700,1982
The Hunger Games: Catching Fire,Lionsgate,424668047,444697400,2013
Pirates of the Caribbean: Dead Man's Chest,Buena Vista (Disney),423315812,562266800,2006
The Lion King,Buena Vista (Disney),422783777,775573900,1994
Toy Story 3,Buena Vista (Disney),415004880,454156300,2010
Iron Man 3,Buena Vista (Disney),409013994,424632700,2013
The Hunger Games,Lionsgate,408010692,442510400,2012
Spider-Man,Sony,403706375,604517300,2002
Jurassic Park,Universal,402453882,799721000,1993
Transformers: Revenge of the Fallen,Paramount/Dreamworks,402111870,468938100,2009
Frozen,Buena Vista (Disney),400738009,426656900,2013
Harry Potter and the Deathly Hallows Part 2,Warner Bros.,381011219,417512200,2011
Finding Nemo,Buena Vista (Disney),380843261,535802700,2003
Star Wars: Episode III - Revenge of the Sith,Fox,380270577,516123900,2005
The Lord of the Rings: The Return of the King,New Line,377845905,536265400,2003
Spider-Man 2,Sony,373585825,523381100,2004
The Passion of the Christ,NM,370782930,519432100,2004
Despicable Me 2,Universal,368061265,407978700,2013
Inside Out,Buena Vista (Disney),356461711,375723400,2015
Furious 7,Universal,353007020,356907000,2015
Transformers: Dark of the Moon,Paramount/Dreamworks,352390543,385069700,2011
American Sniper,Warner Bros.,350126372,374796000,2014
The Lord of the Rings: The Two Towers,New Line,342551365,502210000,2002
The Hunger Games: Mockingjay - Part 1,Lionsgate,337135885,354324000,2014
Spider-Man 3,Sony,336530303,425554300,2007
Minions,Universal,336045770,354213900,2015
Alice in Wonderland (2010),Buena Vista (Disney),334191110,365718600,2010
Guardians of the Galaxy,Buena Vista (Disney),333176600,358244800,2014
Forrest Gump,Paramount,330252182,683929300,1994
Shrek the Third,Paramount/Dreamworks,322719944,408090600,2007
Transformers,Paramount/Dreamworks,319246193,403697900,2007
Iron Man,Paramount,318412101,385808100,2008
Harry Potter and the Sorcerer's Stone,Warner Bros.,317575550,486442900,2001
Indiana Jones and the Kingdom of the Crystal Skull,Paramount,317101119,384231200,2008
The Lord of the Rings: The Fellowship of the Ring,New Line,315544750,476753700,2001
Iron Man 2,Paramount,312433331,341908200,2010
Star Wars: Episode II - Attack of the Clones,Fox,310676740,465175700,2002
Pirates of the Caribbean: At World's End,Buena Vista (Disney),309420425,391272900,2007
Return of the Jedi,Fox,309306177,818316900,1983
Independence Day,Fox,306169268,602639200,1996
Pirates of the Caribbean: The Curse of the Black Pearl,Buena Vista (Disney),305413918,440645400,2003
Skyfall,Sony,304360277,329225400,2012
The Hobbit: An Unexpected Journey,Warner Bros. (New Line),303003568,329153300,2012
Harry Potter and the Half-Blood Prince,Warner Bros.,301959197,352098800,2009
The Twilight Saga: Eclipse,Sum.,300531751,328883800,2010
The Twilight Saga: New Moon,Sum.,296623634,338517700,2009
The Sixth Sense,Buena Vista (Disney),293506292,500938400,1999
Up,Buena Vista (Disney),293004164,341681900,2009
Harry Potter and the Order of the Phoenix,Warner Bros.,292004738,369250200,2007
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Buena Vista (Disney),291710957,393033100,2005
The Empire Strikes Back,Fox,290475067,854171500,1980
Harry Potter and the Goblet of Fire,Warner Bros.,290013036,393024800,2005
"Monsters, Inc.",Buena Vista (Disney),289916256,429372100,2001
Home Alone,Fox,285761243,589287500,1990
The Matrix Reloaded,Warner Bros.,281576461,406254600,2003
Meet the Fockers,Universal,279261160,384305300,2004
The Hangover,Warner Bros.,277322503,323343300,2009
Shrek,Dreamworks,267665011,411428500,2001
Harry Potter and the Chamber of Secrets,Warner Bros.,261988482,390768100,2002
The Incredibles,Buena Vista (Disney),261441092,365660600,2004
How the Grinch Stole Christmas,Universal,260044825,418529400,2000
Jaws,Universal,260000000,1114285700,1975
Batman,Warner Bros.,251188924,547705200,1989
Night at the Museum,Fox,250863268,322261900,2006
Men in Black,Sony,250690539,475165100,1997
Harry Potter and the Prisoner of Azkaban,Warner Bros.,249541069,349598600,2004
Raiders of the Lost Ark,Paramount,248159971,770183000,1981
Toy Story 2,Buena Vista (Disney),245852179,416177700,1999
Cars,Buena Vista (Disney),244082982,324201800,2006
Bruce Almighty,Universal,242829261,350350700,2003
Ghostbusters,Columbia,242212467,619211400,1984
Twister,Warner Bros.,241721524,475786700,1996
My Big Fat Greek Wedding,IFC,241438208,360349500,2002
Beverly Hills Cop,Paramount,234760478,584205200,1984
Cast Away,Fox,233632142,364479500,2000
The Exorcist,Warner Bros.,232906145,962212800,1973
The Lost World: Jurassic Park,Universal,229086679,434216600,1997
Signs,Buena Vista (Disney),227966634,341332700,2002
Rush Hour 2,New Line,226164286,347637700,2001
Mrs. Doubtfire,Fox,219195243,458354100,1993
Beauty and the Beast,Buena Vista (Disney),218967620,394664300,1991
Ghost,Paramount,217631306,447747400,1990
Aladdin,Buena Vista (Disney),217350219,456248400,1992
Saving Private Ryan,Dreamworks,216540909,397999500,1998
Mission: Impossible II,Paramount,215409889,347693200,2000
Back to the Future,Universal,210609762,513740700,1985
Austin Powers: The Spy Who Shagged Me,New Line,206040086,352863900,1999
Terminator 2: Judgment Day,TriS,204843345,423310500,1991
Armageddon,Buena Vista (Disney),201578182,373929700,1998
Gone with the Wind,MGM,198676459,1757788200,1939
Indiana Jones and the Last Crusade,Paramount,197171806,429923500,1989
Toy Story,Buena Vista (Disney),191796233,381654400,1995
Grease,Paramount,188755690,669632000,1978
Snow White and the Seven Dwarfs,Disney,184925486,948300000,1937
Dances with Wolves,Orion,184208848,380183900,1990
Batman Forever,Warner Bros.,184031112,368062200,1995
The Fugitive,Warner Bros.,183875760,386256600,1993
Liar Liar,Universal,181410615,343850200,1997
Mission: Impossible,Paramount,180981856,356231300,1996
Indiana Jones and the Temple of Doom,Paramount,179870271,465735500,1984
Top Gun,Paramount,179800601,417818200,1986
Pretty Woman,Buena Vista (Disney),178406268,366934900,1990
Tootsie,Columbia,177200000,495064300,1982
There's Something About Mary,Fox,176484651,326064000,1998
Crocodile Dundee,Paramount,174803506,401961400,1986
Apollo 13,Universal,173837933,346762300,1995
Home Alone 2: Lost in New York,Fox,173585516,364091400,1992
Air Force One,Sony,172956409,327752300,1997
Rain Man,MGM,172825435,376637800,1988
Three Men and a Baby,Buena Vista (Disney),167780960,362822900,1987
Robin Hood: Prince of Thieves,Warner Bros.,165493908,341994500,1991
Batman Returns,Warner Bros.,162831698,341358000,1992
The Sound of Music,Fox,158671368,1239013800,1965
The Firm,Paramount,158348367,332761100,1993
Fatal Attraction,Paramount,156645693,345222500,1987
Who Framed Roger Rabbit,Buena Vista (Disney),156452370,331176600,1988
The Sting,Universal,156000000,775542900,1973
Beverly Hills Cop II,Paramount,153665036,341914500,1987
Gremlins,Warner Bros.,153083102,395694800,1984
Rambo: First Blood Part II,TriS,150415432,368623700,1985
Lethal Weapon 2,Warner Bros.,147253986,322697700,1989
101 Dalmatians,Disney,144880014,869280100,1961
The Jungle Book,Disney,141843612,641015300,1967
National Lampoon's Animal House,Universal,141600000,521045300,1978
The Godfather,Paramount,134966411,686626300,1972
Superman,Warner Bros.,134218018,499015700,1978
Close Encounters of the Third Kind,Columbia,132088635,483507200,1977
An Officer and a Gentleman,Paramount,129795554,379814600,1982
Smokey and the Bandit,Universal,126737428,494446500,1977
Rocky III,UA,125049125,369865300,1982
Blazing Saddles,Warner Bros.,119601481,550184700,1974
On Golden Pond,Universal,119285432,353083700,1981
Rocky,UA,117235147,478847800,1976
The Towering Inferno,Fox,116000000,533968300,1974
American Graffiti,Universal,115000000,571714300,1973
The Rocky Horror Picture Show,Fox,112892319,479104000,1975
Doctor Zhivago,MGM,111721910,1079978500,1965
Porky's,Fox,111289673,328182900,1982
One Flew Over the Cuckoo's Nest,UA,108981275,467062600,1975
