Date,Flight Number,Destination,Delay
6/1/15,73,HNL,257
6/1/15,217,EWR,28
6/1/15,237,STL,-3
6/1/15,250,SAN,0
6/1/15,267,PHL,64
6/1/15,273,SEA,-6
6/1/15,278,SEA,-8
6/1/15,292,EWR,12
6/1/15,300,HNL,20
6/1/15,317,IND,-10
6/1/15,318,DEN,29
6/1/15,322,SEA,3
6/1/15,331,DEN,-7
6/1/15,355,IAD,0
6/1/15,358,LAS,-1
6/1/15,388,ORD,-9
6/1/15,392,LAS,-9
6/1/15,408,IAD,14
6/1/15,433,LAX,10
6/1/15,434,LAS,-3
6/1/15,464,PDX,-3
6/1/15,468,IAH,23
6/1/15,477,ORD,10
6/1/15,478,LAX,0
6/1/15,480,PIT,5
6/1/15,500,MSP,28
6/1/15,502,JFK,-4
6/1/15,522,PDX,36
6/1/15,525,LAX,-4
6/1/15,560,SEA,1
6/1/15,577,EWR,-9
6/1/15,595,PDX,-4
6/1/15,624,ORD,10
6/1/15,637,JFK,141
6/1/15,650,AUS,44
6/1/15,663,HNL,4
6/1/15,671,DEN,74
6/1/15,680,ORD,-3
6/1/15,698,ORD,4
6/1/15,704,JFK,-8
6/1/15,705,ORD,-1
6/1/15,714,LAS,-5
6/1/15,715,PHX,-1
6/1/15,718,SAN,7
6/1/15,720,DEN,127
6/1/15,721,DFW,0
6/1/15,728,ORD,-2
6/1/15,740,LAS,-4
6/1/15,753,LAS,-7
6/1/15,756,DEN,-3
6/1/15,758,JFK,-5
6/1/15,760,JFK,352
6/1/15,768,BOS,-9
6/1/15,769,LAX,55
6/1/15,794,LIH,17
6/1/15,814,LAX,-3
6/1/15,824,JFK,3
6/1/15,898,JFK,290
6/1/15,995,ORD,24
6/1/15,1002,LAX,38
6/1/15,1029,LAS,16
6/1/15,1038,IAH,103
6/1/15,1057,DEN,0
6/1/15,1065,EWR,0
6/1/15,1074,ORD,-2
6/1/15,1076,IAD,3
6/1/15,1083,LAX,98
6/1/15,1106,MCO,2
6/1/15,1118,EWR,34
6/1/15,1120,IAH,125
6/1/15,1124,LAS,-1
6/1/15,1130,LAX,189
6/1/15,1131,EWR,122
6/1/15,1132,DFW,10
6/1/15,1135,RDU,38
6/1/15,1138,MSY,10
6/1/15,1149,EWR,15
6/1/15,1156,EWR,10
6/1/15,1167,SEA,101
6/1/15,1171,DEN,17
6/1/15,1185,EWR,97
6/1/15,1192,LAX,-4
6/1/15,1195,IAH,11
6/1/15,1197,IAH,43
6/1/15,1199,MCO,96
6/1/15,1204,SEA,4
6/1/15,1226,SNA,-1
6/1/15,1247,BOS,-3
6/1/15,1250,IAH,-3
6/1/15,1257,ANC,52
6/1/15,1263,ORD,148
6/1/15,1266,EWR,0
6/1/15,1267,SAN,-1
6/1/15,1268,IAD,0
6/1/15,1273,OGG,3
6/1/15,1291,BOS,-2
6/1/15,1402,SAN,52
6/1/15,1405,LAS,-1
6/1/15,1415,IAH,2
6/1/15,1422,PHL,-2
6/1/15,1440,BOS,50
6/1/15,1455,SAN,34
6/1/15,1457,IAH,5
6/1/15,1474,DEN,-1
6/1/15,1511,PHX,-1
6/1/15,1523,EWR,87
6/1/15,1526,CLE,7
6/1/15,1531,RDU,9
6/1/15,1534,SEA,-2
6/1/15,1558,IAD,-1
6/1/15,1563,BWI,-3
6/1/15,1568,FLL,18
6/1/15,1581,OGG,20
6/1/15,1583,EWR,12
6/1/15,1586,ORD,19
6/1/15,1589,IAH,1
6/1/15,1591,LAX,0
6/1/15,1601,DEN,5
6/1/15,1602,ATL,6
6/1/15,1614,SAN,66
6/1/15,1616,SEA,0
6/1/15,1634,BOS,0
6/1/15,1637,SEA,53
6/1/15,1642,BOS,15
6/1/15,1645,IAD,7
6/1/15,1662,BOS,35
6/1/15,1668,ORD,36
6/1/15,1670,HNL,3
6/1/15,1673,ORD,-5
6/1/15,1681,CLE,-4
6/1/15,1686,DCA,32
6/1/15,1709,ORD,-8
6/1/15,1710,LAX,-1
6/1/15,1714,SEA,-1
6/1/15,1717,ORD,29
6/1/15,1720,IAD,21
6/1/15,1721,KOA,16
6/1/15,1723,KOA,-3
6/1/15,1725,OGG,-8
6/1/15,1727,IAD,0
6/1/15,1728,ATL,26
6/1/15,1748,AUS,-3
6/1/15,1753,MCO,18
6/1/15,1754,EWR,3
6/1/15,1756,BOS,-8
6/1/15,1760,IAD,3
6/1/15,1900,SAN,3
6/1/15,1911,AUS,-3
6/1/15,1912,SNA,7
6/1/15,1922,EWR,-1
6/1/15,1925,IAD,59
6/2/15,73,HNL,0
6/2/15,217,EWR,6
6/2/15,237,STL,20
6/2/15,250,SAN,13
6/2/15,267,PHL,-4
6/2/15,273,SEA,42
6/2/15,292,EWR,262
6/2/15,300,HNL,7
6/2/15,317,IND,312
6/2/15,318,DEN,1
6/2/15,322,SEA,-4
6/2/15,331,DEN,-9
6/2/15,355,IAD,-3
6/2/15,358,LAS,-8
6/2/15,388,ORD,-4
6/2/15,392,LAS,0
6/2/15,400,IAD,29
6/2/15,408,IAD,-2
6/2/15,433,LAX,-5
6/2/15,434,LAS,-8
6/2/15,437,LAS,-5
6/2/15,444,BOS,-7
6/2/15,464,PDX,-3
6/2/15,468,IAH,-4
6/2/15,477,ORD,15
6/2/15,478,LAX,16
6/2/15,480,PIT,2
6/2/15,498,SAN,-4
6/2/15,502,JFK,0
6/2/15,516,IAD,0
6/2/15,525,LAX,73
6/2/15,560,SEA,187
6/2/15,568,EWR,74
6/2/15,577,EWR,16
6/2/15,595,PDX,24
6/2/15,616,ORD,60
6/2/15,624,ORD,-3
6/2/15,637,JFK,202
6/2/15,650,AUS,3
6/2/15,662,MSP,68
6/2/15,671,DEN,99
6/2/15,680,ORD,5
6/2/15,698,ORD,32
6/2/15,704,JFK,-11
6/2/15,705,ORD,0
6/2/15,714,LAS,34
6/2/15,715,PHX,14
6/2/15,718,SAN,-2
6/2/15,720,DEN,-2
6/2/15,721,DFW,-7
6/2/15,728,ORD,7
6/2/15,753,LAS,16
6/2/15,756,DEN,-2
6/2/15,758,JFK,26
6/2/15,760,JFK,-2
6/2/15,768,BOS,94
6/2/15,769,LAX,12
6/2/15,794,LIH,0
6/2/15,814,LAX,18
6/2/15,824,JFK,73
6/2/15,898,JFK,37
6/2/15,995,ORD,-8
6/2/15,1002,LAX,5
6/2/15,1029,LAS,17
6/2/15,1038,IAH,-6
6/2/15,1057,DEN,8
6/2/15,1074,ORD,7
6/2/15,1076,IAD,43
6/2/15,1083,LAX,9
6/2/15,1106,MCO,0
6/2/15,1118,EWR,4
6/2/15,1120,IAH,28
6/2/15,1124,LAS,-6
6/2/15,1130,LAX,-1
6/2/15,1131,EWR,0
6/2/15,1132,DFW,-7
6/2/15,1135,RDU,8
6/2/15,1138,MSY,95
6/2/15,1149,EWR,4
6/2/15,1156,EWR,58
6/2/15,1171,DEN,12
6/2/15,1175,HNL,25
6/2/15,1185,EWR,59
6/2/15,1192,LAX,-5
6/2/15,1195,IAH,1
6/2/15,1197,IAH,-1
6/2/15,1199,MCO,-3
6/2/15,1204,SEA,11
6/2/15,1226,SNA,-10
